Source,Target,Weight
love,affair,1
affair,itali,1
itali,long-stand,1
itali,thing,1
itali,actual,1
itali,excit,1
itali,mani,1
long-stand,strong,1
strong,–,1
–,’,1
–,except,1
–,shirt,1
–,tend,1
–,serious,1
–,think,1
’,like,1
’,long,1
’,never,1
’,amaz,1
’,sort,1
’,super,1
’,one,2
’,left,1
’,help,1
’,beauti,1
like,everi,1
like,insur,1
like,vigevano,1
everi,trip,1
trip,back,1
trip,realli,1
back,keep,1
back,milan,1
back,rickshaw,1
back,road,1
back,uk,1
keep,draw,1
draw,even,1
even,alreadi,1
even,thought,1
even,quick,1
even,tri,1
alreadi,know,2
know,first,1
know,penchant,1
know,itali,1
know,suffic,1
first,time,1
first,stop,1
time,drive,1
time,northern,1
time,’,1
drive,milan,1
drive,fast,1
milan,amalfi,1
milan,–,1
milan,middl,1
amalfi,coast,1
coast,rickshaw,1
rickshaw,’,3
rickshaw,ever,1
rickshaw,gira,1
rickshaw,adventur,1
rickshaw,would,1
rickshaw,ride,2
rickshaw,soon,1
rickshaw,piazza,1
long,sinc,1
sinc,fan,1
fan,slow,1
slow,travel,1
travel,itali,1
thing,rickshaw,1
thing,like,1
ever,drive,1
fast,get,1
get,see,1
get,rickshaw,1
get,airport,1
see,much,1
much,itali,1
much,went,1
much,could,1
actual,visit,1
visit,explor,1
visit,needless,1
visit,park,1
explor,absolut,1
absolut,beauti,1
beauti,place,1
beauti,without,1
beauti,citi,1
place,’,1
place,like,1
never,even,1
thought,visit,1
needless,say,1
say,arriv,1
say,glad,1
arriv,back,1
arriv,milan,1
except,time,1
northern,region,1
region,lombardi,1
lombardi,itali,1
lombardi,felt,1
excit,get,1
excit,back,1
gira,–,1
shirt,great,1
great,italian,1
great,bunch,1
italian,rickshaw,1
italian,farmhous,1
italian,town,1
adventur,’,1
amaz,basic,1
amaz,–,1
basic,take,1
take,hassl,1
hassl,organis,1
organis,journey,1
journey,itinerari,1
itinerari,still,1
still,plan,1
plan,’,1
sort,thing,1
insur,accommod,1
accommod,want,1
want,–,1
tend,book,1
book,us,1
us,fantast,1
us,great,1
us,back,1
fantast,italian,1
farmhous,alreadi,1
penchant,even,1
quick,class,1
quick,train,1
class,show,1
show,ride,1
ride,rickshaw,1
ride,breakfast,1
ride,us,1
ride,pretti,1
super,easi,1
easi,arriv,1
middl,night,1
night,pretti,1
pretti,much,1
pretti,conveni,1
pretti,littl,1
went,sleep,1
sleep,straight,1
straight,away,1
away,stay,1
stay,hotel,1
hotel,near,1
near,train,1
train,station,1
train,pick,1
train,ride,1
station,pretti,1
conveni,next,1
conveni,get,1
next,day,1
day,would,1
would,catch,1
would,also,1
would,go,1
would,someth,1
would,know,1
catch,train,1
pick,rickshaw,1
also,conveni,1
airport,took,1
took,taxi,1
taxi,instead,1
instead,quick,1
breakfast,met,1
met,folk,1
folk,would,1
go,rickshaw,1
bunch,–,1
serious,’,1
one,not-so-mani,1
one,mani,1
not-so-mani,time,1
left,trip,1
realli,miss,1
miss,newfound,1
newfound,team,1
team,re-acquaint,1
re-acquaint,rickshaw,1
soon,search,1
search,sight,2
sight,sound,1
sight,town…,1
sound,lombardi,1
felt,familiar,1
familiar,back,1
help,excit,1
road,first,1
stop,rickshaw,1
littl,town,1
town,vigevano,1
town,amaz,1
town,’,1
town,squar,1
vigevano,italian,1
vigevano,would,1
think,’,1
without,even,1
tri,countri,1
countri,place,1
someth,everyon,1
everyon,would,1
mani,beauti,1
mani,us,1
citi,town,1
uk,know,1
suffic,say,1
glad,got,1
got,visit,1
park,rickshaw,1
piazza,ducal,1
ducal,town,1
squar,head,1
head,search,1
town…,least,1
least,much,1
could,fit,1
fit,lunch,1
