Source,Target,Weight
chicken,saltimbocca,3
chicken,breast,2
saltimbocca,made,1
saltimbocca,variat,1
saltimbocca,typic,1
saltimbocca,name,1
saltimbocca,pair,1
made,pound,1
made,veal,1
pound,chicken,1
breast,stuf,1
breast,use,1
stuf,prosciutto,1
prosciutto,sage,3
sage,light,1
sage,order,1
sage,quickli,1
light,white,1
white,wine,1
wine,sauc,1
sauc,chicken,1
variat,tradit,1
tradit,italian,1
tradit,made,1
italian,dish,2
italian,restaur,1
dish,saltimbocca,1
dish,time,1
dish,provid,1
dish,translat,1
dish,complement,1
typic,featur,1
featur,veal,1
veal,cutlet,2
veal,maintain,1
cutlet,wrap,2
wrap,prosciutto,2
order,dish,1
time,favorit,1
time,click,1
favorit,italian,1
restaur,load,1
load,butter,1
butter,butter,1
butter,make,1
butter,oil,1
make,everyth,1
everyth,tast,1
tast,soo,1
soo,good,1
good,lighter,1
lighter,adapt,1
lighter,poultri,1
adapt,chicken,1
use,instead,1
use,mailchimp,1
instead,veal,1
maintain,essenc,1
essenc,dish,1
provid,lighter,1
poultri,altern,1
altern,saltimbocca,1
name,italian,1
translat,“,1
“,jump,1
jump,mouth,1
mouth,”,1
”,tradit,1
quickli,cook,1
cook,butter,1
oil,occasion,1
occasion,top,1
top,melt,1
melt,chees,1
chees,chicken,1
pair,well,1
well,variou,1
variou,side,1
side,dish,1
complement,flavor,1
flavor,textur,1
textur,option,1
option,post,1
post,pic,1
pic,mention,1
mention,skinnytast,1
skinnytast,tag,1
skinnytast,subscrib,1
skinnytast,use,1
tag,skinnytast,1
subscrib,weekli,1
subscrib,acknowledg,1
weekli,email,1
email,newslett,1
email,skinnytast,1
email,stay,1
newslett,free,1
free,'ll,1
'll,get,1
get,latest,1
latest,meal,1
meal,idea,1
idea,new,1
new,recip,1
recip,everi,1
everi,week,1
week,pleas,1
pleas,check,1
check,follow,1
follow,indic,1
indic,would,1
would,like,1
like,receiv,1
receiv,email,1
mailchimp,market,1
mailchimp,process,1
mailchimp,'s,1
market,platform,1
platform,click,1
click,subscrib,1
click,link,1
acknowledg,inform,1
inform,transfer,1
transfer,mailchimp,1
process,learn,1
learn,mailchimp,1
's,privaci,1
privaci,practic,1
practic,unsubscrib,1
unsubscrib,time,1
link,footer,1
footer,email,1
stay,date,1
date,wherev,1
