Source,Target,Weight
toptal,hand-match,1
toptal,solv,1
toptal,enjoy,1
hand-match,top,1
top,compani,2
compani,freelanc,1
compani,technolog,1
compani,help,1
compani,previous,1
freelanc,blockchain,2
freelanc,david,1
freelanc,hudson,1
blockchain,advisor,1
blockchain,consult,1
advisor,hire,1
hire,freelanc,1
consult,toptal,1
solv,critic,1
critic,financ,1
financ,challeng,1
financ,expertis,1
financ,``,1
financ,project,1
financ,interest,1
financ,enterpris,1
challeng,support,1
challeng,financ,1
challeng,previous,1
support,rapid,1
rapid,scalabl,1
scalabl,busi,1
busi,growth,1
busi,across,1
busi,transact,1
busi,model,1
growth,no-risk,1
growth,ventur,1
growth,rang,1
no-risk,trial,1
trial,pay,1
pay,satisfi,1
satisfi,trust,1
trust,lead,1
lead,brand,1
brand,startup,1
startup,watch,1
startup,freelanc,1
startup,strateg,1
watch,case,18
case,studi,18
studi,watch,17
studi,georg,1
georg,bring,1
georg,nomin,1
bring,divers,1
divers,financ,1
expertis,role,1
expertis,drive,1
role,deloitt,1
role,project,1
deloitt,galt,1
galt,taggart,1
taggart,largest,1
largest,invest,1
invest,bank,1
invest,return,1
invest,decis,1
bank,georgia,2
bank,sector,1
georgia,cryptx,1
georgia,group,1
georgia,``,1
cryptx,group,1
cryptx,dual,1
group,recent,1
group,lse-list,1
recent,bank,1
lse-list,entiti,1
entiti,advis,1
advis,compani,1
advis,client,1
technolog,energi,1
technolog,strong,1
energi,oil,1
oil,ga,1
ga,bank,1
sector,total,1
sector,includ,1
total,asset,1
asset,rang,1
rang,10,1
rang,busi,1
rang,industri,1
10,million,1
million,1,1
million,deal,1
million,synergi,1
1,billion,1
billion,georg,1
nomin,forb,1
forb,georgia,1
``,30,1
``,enjoy,1
30,30,1
30,financ,1
enjoy,help,1
enjoy,varieti,1
enjoy,exposur,1
help,client,1
help,tackl,1
client,navig,1
client,strategi,1
navig,challeng,1
project,previous,1
project,compani,1
previous,cryptx,1
previous,king,1
previous,remo,1
previous,marina,1
previous,magma,1
dual,law,1
law,mba,1
mba,degre,1
degre,holder,1
holder,david,1
david,built,1
david,leverag,1
built,model,1
model,500+,1
model,invest,1
model,work,1
500+,million,1
deal,led,1
deal,detail,1
led,integr,1
integr,deliv,1
deliv,200,1
deliv,growth,1
200,million,1
synergi,place,1
place,ventur,1
ventur,invest,1
ventur,build,1
ventur,variou,1
return,4x+,1
4x+,'s,1
's,work,1
work,publicly-trad,1
work,extens,1
work,innov,1
publicly-trad,firm,1
firm,ncr,1
firm,startup,1
ncr,mitel,1
mitel,cfo,1
cfo,privat,1
privat,equiti,2
equiti,firm,1
equiti,analyst,1
equiti,associ,1
leverag,oper,1
oper,deal-rel,1
oper,financ,1
deal-rel,skill,1
skill,set,1
set,advis,1
strategi,model,1
strategi,ventur,1
strategi,oper,1
decis,previous,1
king,distribut,1
distribut,system,1
system,alex,1
alex,intern,1
alex,work,1
intern,profession,1
profession,entrepreneur,1
entrepreneur,solid,1
solid,track,1
track,record,1
record,strategi,1
build,technolog,1
strong,experi,1
experi,go-to-market,1
experi,across,1
experi,trader,1
go-to-market,strategi,1
interest,scale,1
scale,earli,1
earli,growth,1
variou,vertic,1
vertic,alex,1
extens,emea,1
extens,global,1
emea,asia,1
asia,pacif,1
pacif,latin,1
latin,american,1
american,region,1
region,eager,1
eager,engag,1
engag,top,1
tackl,excit,1
excit,challeng,1
remo,mobil,1
mobil,neil,1
neil,versatil,1
neil,join,1
versatil,strateg,1
strateg,digit,1
strateg,thinker,1
digit,leader,1
digit,innov,1
leader,20,1
20,year,1
year,commerci,1
commerci,focus,1
focus,multin,1
multin,manag,1
manag,experi,1
manag,middle-market,1
manag,team,1
across,sector,1
across,cultur,1
includ,financi,1
financi,servic,1
financi,experi,1
servic,natur,1
natur,resourc,1
resourc,fast-mov,1
fast-mov,consum,1
consum,good,1
good,fmcg,1
fmcg,hospit,1
hospit,extens,1
global,expertis,1
drive,digit,1
innov,deliv,1
innov,manag,1
cultur,neil,1
join,toptal,1
varieti,new,1
new,role,1
marina,bay,1
bay,sand,1
sand,hudson,1
hudson,broad,1
hudson,enjoy,1
broad,financi,1
trader,hedg,1
hedg,fund,1
fund,equiti,1
analyst,portfolio,1
portfolio,manag,1
middle-market,privat,1
associ,director,1
director,financ,1
enterpris,saa,1
saa,startup,1
thinker,adept,1
adept,deal,1
detail,busi,1
transact,freelanc,1
exposur,rang,1
industri,busi,1
team,advanc,1
advanc,solut,1
solut,previous,1
magma,capit,1
capit,fund,1
