Source,Target,Weight
garlicki,italian,1
italian,shrimp,5
italian,oliv,1
italian,seafood,1
shrimp,salad,7
shrimp,celeri,1
shrimp,pasta,1
salad,recip,1
salad,go-to,1
salad,parti,1
salad,avocado,1
salad,italian,1
salad,variat,1
salad,take,1
salad,quick,1
salad,fridg,1
recip,load,1
recip,measur,1
recip,everi,1
load,shrimp,1
celeri,mix,1
celeri,garlic,1
mix,bold,1
bold,italian,1
oliv,brighten,1
oliv,celeri,1
brighten,lemoni,1
lemoni,dress,1
dress,shrimp,1
go-to,dish,1
dish,need,1
dish,serv,1
need,bring,1
bring,appet,1
appet,parti,1
parti,’,1
parti,everyon,1
parti,suggest,1
’,great,1
’,get,1
’,refresh,1
’,cook,1
’,also,1
great,way,1
great,meal,1
way,make,1
make,sure,1
make,time,1
make,love,1
sure,’,1
get,lean,1
get,better,2
get,latest,1
lean,protein,1
protein,healthi,1
healthi,option,1
healthi,control,1
option,eat,1
eat,healthi,1
control,recent,1
recent,brought,1
brought,italian,1
everyon,love,1
love,’,1
love,italian,1
refresh,high-protein,1
high-protein,perfect,1
perfect,warmer,1
warmer,month,1
month,flavor,1
flavor,oliv,1
flavor,get,1
garlic,get,1
better,marin,1
better,sit,1
marin,fridg,1
marin,’,1
fridg,best,1
fridg,3,1
best,part,1
part,everyth,1
everyth,’,1
cook,combin,1
combin,ingredi,1
ingredi,marin,1
also,great,1
meal,prep,1
meal,idea,1
prep,cold,1
cold,lunch,1
lunch,anoth,1
anoth,favorit,1
favorit,make,1
time,zesti,1
time,click,1
zesti,lime,1
lime,shrimp,1
avocado,creami,1
creami,shrimp,1
pasta,salad,1
variat,find,1
find,complet,1
complet,recip,1
measur,easi,1
easi,italian,1
easi,dish,1
take,minut,1
minut,make,1
seafood,salad,1
quick,weeknight,1
weeknight,dinner,1
dinner,easi,1
serv,parti,1
serv,keep,1
suggest,serv,1
keep,italian,1
3,day,1
day,flavor,1
sit,post,1
post,pic,1
pic,mention,1
mention,skinnytast,1
skinnytast,tag,1
skinnytast,subscrib,1
skinnytast,use,1
tag,skinnytast,1
subscrib,weekli,1
subscrib,acknowledg,1
weekli,email,1
email,newslett,1
email,skinnytast,1
email,stay,1
newslett,free,1
free,'ll,1
'll,get,1
latest,meal,1
idea,new,1
new,recip,1
everi,week,1
week,pleas,1
pleas,check,1
check,follow,1
follow,indic,1
indic,would,1
would,like,1
like,receiv,1
receiv,email,1
use,mailchimp,1
mailchimp,market,1
mailchimp,process,1
mailchimp,'s,1
market,platform,1
platform,click,1
click,subscrib,1
click,link,1
acknowledg,inform,1
inform,transfer,1
transfer,mailchimp,1
process,learn,1
learn,mailchimp,1
's,privaci,1
privaci,practic,1
practic,unsubscrib,1
unsubscrib,time,1
link,footer,1
footer,email,1
stay,date,1
date,wherev,1
