Source,Target,Weight
toptal,marketplac,1
toptal,mission,1
toptal,network,1
toptal,client,1
marketplac,top,1
top,financi,1
top,compani,1
financi,plan,1
financi,analyt,1
financi,analysi,1
financi,profession,1
financi,model,1
financi,report,1
plan,analysi,1
analysi,consult,1
analysi,challeng,1
analysi,storyboard,1
consult,top,1
consult,provid,1
compani,startup,1
compani,50,1
compani,provid,1
compani,baruch,1
startup,hire,1
startup,watch,1
startup,focus,1
hire,fp,1
fp,freelanc,1
fp,buyout,1
freelanc,toptal,1
mission,critic,1
mission,machineri,1
critic,project,1
project,no-risk,1
project,rang,1
project,uniqu,1
no-risk,trial,1
trial,pay,1
pay,satisfi,1
satisfi,trust,1
trust,lead,1
lead,brand,1
lead,cross-funct,1
brand,startup,1
watch,case,18
case,studi,18
studi,watch,17
studi,juba,1
juba,founder,1
juba,season,1
founder,angioclast,1
angioclast,cambridge-bas,1
cambridge-bas,biotech,1
biotech,startup,1
focus,cancer,1
cancer,research,1
research,entrepreneurship,1
entrepreneurship,juba,1
season,cfo,1
cfo,multi-industri,1
cfo,strateg,1
multi-industri,experi,1
experi,work,1
experi,lead,1
experi,post-transact,1
experi,special,1
work,project,1
work,small,1
rang,equiti,1
equiti,sale,1
sale,150,1
150,million,1
million,telecom,1
million,hotel,1
million,textbook,1
telecom,compani,1
50,million,1
hotel,busi,1
busi,turnaround,1
busi,sme,1
busi,owner,1
busi,model,1
turnaround,join,1
join,toptal,1
network,resolv,1
resolv,divers,1
divers,fp,1
buyout,strateg,1
strateg,analysi,1
strateg,advisor,1
challeng,previous,1
previous,benefica,1
previous,rittenhous,1
previous,park,1
previous,epsilon,1
previous,energi,1
benefica,complet,1
complet,2.5,1
complet,privat,1
2.5,billion,1
billion,transact,1
billion,buy-sid,1
transact,40+,1
transact,multipl,1
40+,year,1
year,career,1
year,experi,2
career,jeff,1
jeff,work,1
jeff,also,1
small,medium-s,1
medium-s,busi,1
sme,advisor,1
advisor,fraction,1
advisor,twice,1
fraction,cfo,1
twice,recogn,1
recogn,wall,1
wall,street,1
street,journal,1
journal,all-star,1
all-star,analyst,1
analyst,healthcar,1
healthcar,servic,1
servic,jeff,1
servic,complet,1
servic,gaurav,1
also,serv,1
also,immens,1
also,overhaul,1
serv,ceo,1
ceo,30,1
30,million,1
textbook,distribut,1
distribut,compani,1
provid,buy-sid,1
provid,opportun,1
buy-sid,servic,1
buy-sid,sell-sid,1
privat,placement,1
placement,secur,1
secur,debt,1
debt,previous,1
rittenhous,book,1
book,distributor,1
distributor,ellen,1
ellen,special,1
special,answer,1
special,financi,1
answer,client,1
client,complex,1
client,vast,1
client,grow,1
complex,financi,1
complex,busi,1
analyt,question,1
analyt,project,1
analyt,skill,1
question,innov,1
innov,techniqu,1
techniqu,excit,1
excit,bring,1
bring,toptal,1
vast,set,1
set,tool,1
tool,employ,1
employ,analyt,1
uniqu,talent,1
talent,seamless,1
seamless,combin,1
combin,data,1
data,sourc,1
sourc,program,1
program,financi,1
storyboard,visual,1
visual,previous,1
park,citi,1
citi,financ,1
financ,llc,1
financ,strategi,1
financ,econom,1
llc,baruch,1
baruch,accomplish,1
baruch,also,1
accomplish,financ,1
strategi,execut,1
execut,20+,1
execut,5,1
20+,year,1
cross-funct,team,1
team,led,1
team,execut,1
led,deal,1
led,signific,1
deal,team,1
5,billion,1
sell-sid,transact,1
multipl,fortun,1
fortun,500,1
500,compani,1
immens,experi,1
post-transact,integr,1
integr,corpor,1
corpor,restructur,1
restructur,consult,1
opportun,leverag,1
leverag,expertis,1
leverag,analyt,1
expertis,help,1
help,client,1
help,busi,1
grow,increas,1
increas,profit,1
profit,meet,1
meet,new,1
new,peopl,1
peopl,previous,1
epsilon,acquisit,1
acquisit,servic,1
gaurav,financi,1
gaurav,leverag,1
profession,ca,1
ca,18,1
18,year,1
model,valuat,1
model,process,1
valuat,also,1
overhaul,financi,1
report,system,1
report,gaurav,1
system,introduc,1
introduc,budgetari,1
budgetari,control,1
control,led,1
signific,cost,1
cost,reduct,1
reduct,effect,1
effect,report,1
skill,results-driven,1
results-driven,mindset,1
mindset,analyz,1
analyz,help,1
owner,optim,1
optim,complex,1
process,master,1
master,'s,1
's,degre,1
degre,financ,1
econom,previous,1
energi,mission,1
machineri,pvt,1
pvt,self-employ,1
