Source,Target,Weight
free,7-day,2
7-day,flexibl,2
flexibl,weight,1
flexibl,healthi,1
weight,loss,1
weight,watcher,4
weight,etc,1
loss,meal,1
meal,plan,7
meal,allow,1
meal,tabl,1
meal,prefer,1
meal,planner,2
plan,includ,1
plan,’,1
plan,see,1
plan,meant,1
plan,check,1
plan,grid,1
plan,30,1
includ,breakfast,1
includ,macro,1
includ,space,1
breakfast,lunch,1
lunch,dinner,1
dinner,idea,1
dinner,readi,1
idea,shop,1
idea,everyon,1
shop,list,1
shop,much,1
list,recip,1
list,make,1
list,subscrib,1
list,love,1
recip,includ,1
recip,make,2
recip,meal,1
recip,cours,1
recip,tear-out,1
recip,updat,1
recip,titl,1
recip,card,1
recip,builder,1
recip,cookbook,1
macro,weight,1
watcher,point,1
watcher,recip,1
watcher,program,1
watcher,websit,1
point,spring,1
point,display,1
point,add,1
spring,continu,1
continu,bloom,1
bloom,rain,1
rain,school,1
school,sport,1
sport,extra,1
extra,curricular,1
curricular,activ,1
activ,kick,1
kick,high,1
high,gear,1
gear,basebal,1
basebal,softbal,1
softbal,soccer,1
soccer,band,1
band,danc,1
danc,name,1
name,slow,1
slow,cooker,1
cooker,recip,1
make,easi,1
make,groceri,1
make,join,1
easi,dinner,1
readi,get,1
get,home,1
get,meal,1
get,email,1
get,skinnytast,1
home,long,1
long,day,1
day,quick,1
day,’,1
day,us,1
quick,meal,1
allow,get,1
tabl,tight,1
tight,schedul,1
schedul,win,1
win,win,1
win,’,1
’,new,1
’,share,3
’,one,1
’,also,1
’,dine,1
’,everyth,1
’,facebook,1
’,love,1
’,follow,1
new,meal,1
new,recip,1
new,weight,1
share,free,1
share,photo,1
share,wish,1
healthi,meal,1
see,previou,1
see,recip,1
previou,meal,1
meant,guid,1
guid,plenti,1
plenti,wiggl,1
wiggl,room,1
room,add,1
add,food,1
add,day,1
food,coffe,1
food,’,1
coffe,beverag,1
beverag,fruit,1
fruit,snack,1
snack,dessert,1
dessert,wine,1
wine,etc,1
etc,swap,1
etc,’,1
swap,recip,1
prefer,search,1
search,recip,1
cours,index,1
index,depend,1
index,also,1
depend,goal,1
goal,aim,1
goal,age,1
aim,least,1
least,1500,1
1500,calori,1
calori,per,1
per,day,1
one,size,1
size,fit,1
fit,rang,1
rang,goal,1
age,weight,1
also,precis,1
also,updat,1
precis,organ,1
organ,groceri,1
groceri,list,2
groceri,shop,1
much,easier,1
much,less,1
much,’,1
easier,much,1
less,stress,1
less,often,1
less,food,1
stress,save,1
save,money,1
money,time,1
time,’,1
dine,less,1
often,wast,1
wast,less,1
everyth,need,1
need,hand,1
hand,help,1
help,keep,1
keep,track,1
track,lastli,1
lastli,’,1
facebook,join,1
facebook,commun,1
join,skinnytast,1
join,’,1
skinnytast,facebook,1
skinnytast,ultim,1
commun,everyon,1
everyon,’,2
photo,recip,1
love,idea,1
love,start,1
love,much,1
wish,get,1
wish,12-week,1
email,list,1
subscrib,never,1
never,miss,1
miss,meal,1
check,5,1
5,favorit,1
favorit,deal,1
deal,sale,1
sale,happen,1
happen,weekend,1
weekend,get,1
ultim,meal,1
planner,52,1
planner,weekli,1
52,week,1
week,spiral,1
week,gratitud,1
spiral,bound,1
bound,meal,1
weekli,meal,1
grid,tear,1
tear,put,1
put,fridg,1
fridg,wish,1
12-week,meal,1
30,15,1
15,new,1
tear-out,groceri,1
start,week,1
gratitud,affirm,1
affirm,intent,1
intent,includ,1
space,well,1
well,hope,1
hope,love,1
follow,weight,1
updat,reflect,1
reflect,new,1
program,point,1
display,recip,1
titl,ww,1
ww,button,1
button,recip,1
card,take,1
take,weight,1
websit,see,1
builder,use,1
use,determin,1
determin,point,1
us,must,1
must,log,1
log,account,1
account,cookbook,1
cookbook,recip,1
cookbook,index,1
