Source,Target,Weight
babi,arugula,4
arugula,salad,5
arugula,salmon,1
arugula,babi,2
arugula,pick,1
arugula,strong,1
arugula,milder,1
arugula,sinc,1
salad,go-to,1
salad,recip,3
salad,shave,1
salad,caper,1
salad,easi,1
salad,need,1
salad,best,1
salad,eat,1
go-to,need,1
need,quick,1
need,someth,1
need,cut,1
quick,side,1
side,salad,2
side,dish,2
recip,fish,1
recip,tri,1
recip,take,1
recip,everi,1
fish,steak,1
steak,chicken,1
chicken,pork,1
chicken,make,1
pork,chop,1
chop,healthi,1
chop,take,1
healthi,arugula,1
shave,parmesan,2
parmesan,requir,1
parmesan,peach,1
requir,chop,1
take,minut,2
minut,whip,1
minut,make,1
whip,good,1
whip,side,1
good,make,1
make,time,1
make,main,1
make,love,1
make,amount,1
time,’,1
time,side,1
time,click,1
’,believ,1
’,perfect,1
’,much,1
’,need,1
’,alreadi,1
believ,never,1
never,post,1
post,’,1
post,pic,1
perfect,side,1
dish,mani,1
dish,arugula,1
dish,great,1
dish,serv,1
mani,meal,1
meal,doubl,1
meal,pair,1
meal,idea,1
doubl,portion,1
portion,add,1
add,grill,1
grill,shrimp,1
shrimp,salmon,1
salmon,chicken,1
salmon,salad,1
main,dish,1
tri,arugula,1
caper,shave,1
peach,arugula,1
easi,pepperi,1
pepperi,arugula,1
pepperi,leav,1
pepperi,tast,1
love,whip,1
someth,green,1
green,round,1
green,salad,1
round,meal,1
pair,well,1
pair,great,1
well,dish,1
great,’,1
great,lemon,1
much,extra,1
extra,time,1
serv,suggest,1
suggest,green,1
best,eaten,1
eaten,day,1
day,made,1
made,leftov,1
leftov,get,1
get,soggi,1
get,latest,1
soggi,make,1
amount,salad,1
eat,one,1
one,night,1
night,store,1
store,ingredi,1
ingredi,separ,1
separ,arugula,1
pick,earlier,1
earlier,tast,1
tast,milder,1
tast,pair,1
tast,’,1
milder,less,1
milder,pepper,1
less,pepperi,1
leav,smaller,1
smaller,arugula,1
smaller,piec,1
strong,pepperi,1
lemon,babi,1
pepper,tast,1
cut,arugula,1
cut,though,1
sinc,’,1
alreadi,bite-s,1
bite-s,cut,1
though,prefer,1
prefer,smaller,1
piec,post,1
pic,mention,1
mention,skinnytast,1
skinnytast,tag,1
skinnytast,subscrib,1
skinnytast,use,1
tag,skinnytast,1
subscrib,weekli,1
subscrib,acknowledg,1
weekli,email,1
email,newslett,1
email,skinnytast,1
email,stay,1
newslett,free,1
free,'ll,1
'll,get,1
latest,meal,1
idea,new,1
new,recip,1
everi,week,1
week,pleas,1
pleas,check,1
check,follow,1
follow,indic,1
indic,would,1
would,like,1
like,receiv,1
receiv,email,1
use,mailchimp,1
mailchimp,market,1
mailchimp,process,1
mailchimp,'s,1
market,platform,1
platform,click,1
click,subscrib,1
click,link,1
acknowledg,inform,1
inform,transfer,1
transfer,mailchimp,1
process,learn,1
learn,mailchimp,1
's,privaci,1
privaci,practic,1
practic,unsubscrib,1
unsubscrib,time,1
link,footer,1
footer,email,1
stay,date,1
date,wherev,1
