Source,Target,Weight
…,let,1
let,show,2
show,around,1
show,around…,1
around,new,1
new,south,1
south,african,1
african,home,1
home,🙂,1
🙂,hour,1
hour,search,1
search,safari,1
safari,lodg,1
safari,final,1
safari,slightli,1
safari,anyway,1
safari,pop,1
lodg,get,1
lodg,well,1
get,distract,1
get,prais,1
get,compliment,1
distract,photo,1
photo,blog,1
blog,post,1
post,peopl,1
post,soon,1
peopl,safari,1
final,decid,1
final,whistl,1
decid,go,1
go,kapama,1
go,back,1
go,safari,1
kapama,southern,1
kapama,privat,1
southern,camp,1
camp,part,1
part,larger,1
larger,kapama,1
privat,game,1
game,reserv,1
reserv,famili,1
famili,lloyd,1
lloyd,usual,1
lloyd,kept,1
usual,one,1
one,plan,1
one,nicest,1
plan,’,1
plan,even,1
’,two,1
’,tri,1
’,made,2
’,cut,1
’,worri,1
’,stay,2
’,realis,1
’,stop,1
two,us,1
us,otherwis,1
otherwis,georgia,1
georgia,pretti,1
georgia,lloyd,1
pretti,good,1
pretti,fantast,1
pretti,much,1
good,first,1
good,make,1
good,day,1
first,time,1
first,safari,1
time,long,1
time,charg,1
time,go,1
time,first,1
long,time,1
charg,book,1
book,everyth,1
book,safari,1
everyth,trip,1
everyth,start,1
trip,book,1
slightli,trickier,1
trickier,initi,1
initi,realis,1
realis,quit,1
realis,scroll,1
quit,option,1
option,variabl,1
variabl,avail,1
avail,choos,1
choos,’,1
tri,cover,1
cover,post,1
soon,week,1
week,go,1
back,forth,1
back,room,1
forth,’,1
made,decis,1
made,way,2
made,pool,1
made,right,1
decis,hope,1
hope,place,1
place,would,1
place,give,1
would,live,1
would,great,1
would,end,1
would,struggl,1
live,expect,1
expect,’,1
cut,chase,1
chase,–,1
–,’,1
–,lodg,1
worri,choic,1
choic,apart,1
choic,coy,1
apart,amaz,1
amaz,transfer,1
transfer,airport,1
airport,everyth,1
start,finish,1
finish,pretti,1
fantast,mean,1
mean,knew,1
knew,would,1
knew,’,1
knew,time,1
great,time,1
anyway,’,1
anyway,walk,1
stay,somewher,1
stay,while…,1
somewher,nice,1
nice,make,1
make,whole,1
make,travel,1
whole,experi,1
experi,worth,1
worth,let,1
around…,skip,1
skip,past,1
past,bar,1
past,pool,1
bar,promis,1
bar,area,1
promis,return,1
return,made,1
way,past,1
way,restaur,1
pool,turn,1
pool,see,1
pool,within,1
pool,knew,1
turn,would,1
end,using…,1
using…,reason,1
reason,’,1
scroll,final,1
whistl,stop,1
stop,tour,1
stop,rave,1
tour,–,1
well,1,1
1,2,1
2,anyway,1
walk,sooth,1
sooth,cool,1
cool,air-condit,1
air-condit,room,1
room,one,1
room,’,1
room,order,1
nicest,hotel,1
hotel,room,1
while…,…complet,1
…complet,pool,1
see,never,1
never,made,1
within,minut,1
minut,step,1
minut,good,1
step,knew,1
right,choic,1
coy,get,1
prais,georgia,1
kept,ask,1
ask,pretti,1
much,everi,1
much,need,1
everi,5,1
5,minut,1
travel,plan,1
even,though,1
even,’,1
though,good,1
day,would,1
struggl,get,1
compliment,even,1
rave,place,1
give,“,1
“,told,1
“,quick,1
told,“,1
quick,freshen,1
freshen,gather,1
gather,troop,1
troop,made,1
restaur,much,1
need,lunch…,1
lunch…,…after,1
…after,went,1
went,back,1
order,wine,1
wine,spent,1
spent,rest,1
rest,afternoon,1
afternoon,splash,1
splash,pool,1
pop,bar,1
area,tea,1
tea,cake,1
cake,found,1
found,ranger,1
ranger,tracker,1
tracker,pile,1
pile,4,1
4,x,1
4,jeep,1
x,4,1
