Source,Target,Weight
small,busi,2
busi,owner,1
busi,account,1
busi,plan,1
busi,decis,1
busi,turnaround,1
busi,growth-stag,1
busi,case,1
owner,startup,1
startup,larg,1
startup,watch,1
startup,focus,1
startup,terri,1
larg,compani,1
compani,hire,1
compani,50,1
compani,merril,1
compani,build,1
compani,like,1
compani,led,1
hire,cpa,1
cpa,toptal,1
cpa,bob,1
toptal,bookkeep,1
toptal,network,1
bookkeep,busi,1
account,cash,1
account,servic,1
account,respons,1
account,busi,1
cash,flow,1
flow,model,1
model,prepar,1
prepar,financi,1
financi,inform,1
financi,busi,1
financi,object,1
financi,infrastructur,1
financi,plan,1
financi,analysi,1
inform,busi,1
plan,tax,1
plan,financi,1
plan,enjoy,1
tax,return,1
return,help,1
help,make,1
help,growth,1
help,multipl,1
help,client,1
make,right,1
right,financi,1
decis,no-risk,1
no-risk,trial,1
trial,pay,1
pay,satisfi,1
satisfi,trust,1
trust,lead,1
lead,brand,1
lead,team,1
brand,startup,1
watch,case,18
case,studi,18
case,develop,1
studi,watch,17
studi,juba,1
juba,founder,1
juba,season,1
founder,angioclast,1
founder,fulton,1
founder,'s,1
angioclast,cambridge-bas,1
cambridge-bas,biotech,1
biotech,startup,1
focus,cancer,1
cancer,research,1
research,entrepreneurship,1
entrepreneurship,juba,1
season,cfo,1
season,financ,1
cfo,multi-industri,1
cfo,account,1
cfo,financ,1
cfo,three,1
multi-industri,experi,1
experi,work,1
work,project,1
project,rang,1
rang,equiti,1
rang,industri,1
equiti,sale,1
sale,150,1
150,million,1
million,telecom,1
million,hotel,1
telecom,compani,1
50,million,1
hotel,busi,1
turnaround,join,1
join,toptal,1
network,resolv,1
resolv,divers,1
divers,fp,1
fp,buyout,1
fp,variou,1
buyout,strateg,1
strateg,analysi,1
analysi,challeng,1
analysi,corpor,1
challeng,previous,1
previous,benefica,1
previous,real,1
previous,fulton,1
previous,ibm,1
previous,bridgehealth,1
benefica,season,1
financ,profession,2
financ,strategi,1
financ,account,1
financ,report,1
profession,cpa,1
profession,aspect,1
bob,execut,1
bob,freelanc,1
execut,dilig,1
execut,business/financi,1
dilig,valuat,1
valuat,mandat,1
mandat,serv,1
serv,senior,1
serv,cfo,1
senior,role,1
role,fortun,1
fortun,500,1
500,compani,1
500,million+,1
merril,lynch,1
lynch,phh,1
phh,discov,1
discov,bni,1
bni,mellon,1
mellon,financ,1
strategi,oper,1
strategi,previous,1
oper,expert,1
oper,approach,1
expert,employ,1
employ,collabor,1
collabor,approach,1
approach,balanc,1
approach,keep,1
balanc,custom,1
custom,regulatori,1
regulatori,financi,1
object,bob,1
freelanc,help,2
freelanc,allow,1
growth,compani,1
growth,capit,1
build,financi,1
build,dynam,1
infrastructur,reach,1
reach,full,1
full,potenti,1
potenti,previous,1
real,matter,1
real,terri,1
matter,tse,1
tse,real,1
terri,founder,1
terri,lead,1
fulton,advisori,3
advisori,outsourc,1
advisori,act,1
advisori,tim,1
outsourc,cfo,1
outsourc,function,1
servic,provid,1
provid,small,1
growth-stag,startup,1
team,five,1
five,fulton,1
act,complet,1
complet,outsourc,1
function,financ,1
function,previous,1
respons,client,1
client,take,1
client,variou,1
client,vp,1
client,capit,1
take,oper,1
keep,founder,1
's,specif,1
's,also,1
specif,exit,1
exit,goal,1
exit,sharehold,1
goal,mind,1
mind,craft,1
craft,appropri,1
appropri,financ,1
report,strategi,1
tim,experienc,1
experienc,cfo,1
aspect,financi,1
corpor,account,1
develop,compani,1
develop,across,1
like,ibm,1
ibm,emerson,1
ibm,harvard,1
emerson,electr,1
electr,extens,1
extens,expertis,1
expertis,build,1
dynam,execut,1
business/financi,plan,1
enjoy,freelanc,2
allow,help,1
multipl,client,1
variou,stage,1
variou,cfo-rel,1
stage,develop,1
across,wide,1
wide,rang,1
industri,previous,1
harvard,grad,1
grad,mba,1
mba,stanford,1
stanford,peter,1
peter,serv,1
peter,enjoy,1
three,success,1
success,compani,1
success,exit,1
led,sever,1
led,recapit,1
led,success,1
sever,acquisit,1
acquisit,obtain,1
obtain,growth,1
capit,led,1
capit,market,1
capit,rais,1
recapit,effort,1
effort,led,1
sharehold,'s,1
also,rais,1
rais,500,1
rais,fp,1
million+,client,1
vp,keybanc,1
keybanc,capit,1
market,commerci,1
commerci,invest,1
invest,bank,1
bank,peter,1
cfo-rel,function,1
