Source,Target,Weight
retreat,blue,4
blue,lagoon,8
lagoon,amaz,1
lagoon,’,1
lagoon,someth,1
lagoon,mention,1
lagoon,one,1
lagoon,book,1
lagoon,howev,1
lagoon,sever,1
amaz,much,1
much,everi,1
much,show,1
everi,time,1
everi,trip,1
time,visit,1
visit,iceland,1
iceland,alway,1
iceland,’,1
iceland,lot,1
iceland,summer,1
alway,make,1
make,point,1
make,sure,1
point,stay,1
stay,blue,1
stay,–,1
stay,retreat,1
’,actual,1
’,first,1
’,becom,1
’,also,1
’,champagn,1
’,end,1
’,uniqu,1
’,tri,1
’,worth,1
’,forget,1
’,done,1
’,would,1
’,recommend,1
’,show,1
actual,someth,1
actual,origin,1
actual,starter,1
actual,feel,1
someth,tradit,1
someth,look,1
tradit,’,1
first,trip,1
trip,fond,1
trip,iceland,1
trip,actual,1
fond,memori,1
memori,’,1
memori,treatment,1
becom,must-do,1
must-do,everi,1
also,realli,1
also,feel,1
also,dyrhólaey,1
realli,close,1
close,airport,1
close,free,1
airport,also,1
feel,quit,1
feel,differ,1
feel,incred,1
feel,good,1
quit,practic,1
practic,relax,1
relax,day,1
relax,abl,1
day,turn,1
day,’,1
turn,relax,1
abl,see,1
see,puffin,1
puffin,close,1
free,–,1
–,without,1
–,even,1
without,tour,1
tour,also,1
dyrhólaey,final,1
final,meant,1
meant,downtim,1
downtim,retreat,1
look,forward,1
look,feel,1
forward,much,1
show,3,1
show,around,1
show,much,1
3,hour,1
hour,check-in,1
check-in,even,1
check-in,staff,1
even,open,1
even,alcohol,1
even,turndown,1
even,like,1
even,day,1
open,let,1
let,show,1
around,room,1
around,make,1
room,gener,1
room,absolut,1
room,everyth,1
gener,area,1
area,room,1
absolut,gorgeou,1
gorgeou,stripped-back,1
stripped-back,minimalist,1
minimalist,way,1
way,iceland,1
way,skin,1
lot,nordic,1
nordic,countri,1
countri,famou,1
famou,’,1
champagn,welcom,1
champagn,check-in,1
welcom,room,1
welcom,champagn,1
everyth,minibar,1
everyth,need,1
minibar,includ,1
includ,stay,1
alcohol,beverag,1
beverag,get,1
get,top,1
top,up/replac,1
up/replac,even,1
turndown,servic,1
servic,trip,1
origin,tri,1
tri,book,1
tri,sell,1
tri,’,1
book,silica,1
book,iceland,1
book,’,1
silica,hotel,3
hotel,blue,3
hotel,book,1
mention,post,1
post,hotel,1
summer,wild,1
wild,mani,1
mani,sold,1
mani,spa,1
sold,silica,1
one,left,1
left,us,1
us,retreat,1
end,stay,1
howev,take,1
take,thing,1
take,photo,1
thing,notch,1
thing,call,1
notch,compar,1
notch,actual,1
compar,silica,1
sever,notch,1
starter,welcom,1
staff,flutter,1
flutter,around,1
sure,everyth,1
need,main,1
main,spa,1
spa,thing,1
spa,peopl,1
spa,even,1
spa,begin,1
spa,’,1
call,ritual,1
ritual,like,1
like,skin,1
like,spa,1
skin,cleans,1
skin,feel,1
skin,look,1
cleans,rejuven,1
rejuven,treatment,1
treatment,honest,1
treatment,’,2
honest,kinda,1
kinda,initi,1
initi,roll,1
roll,eye,1
eye,think,1
think,sceptic,1
sceptic,mani,1
peopl,tri,1
sell,idea,1
idea,give,1
give,incred,1
incred,treatment,1
incred,even,1
uniqu,actual,1
differ,spa,1
begin,still,1
still,decid,1
decid,’,1
worth,way,1
forget,’,1
done,wonder,1
wonder,skin,1
good,memori,1
would,come,1
come,flood,1
flood,back,1
back,’,1
recommend,enough,1
enough,allow,1
allow,take,1
photo,spa,1
