Source,Target,Weight
top,compani,1
compani,alway,1
compani,like,1
alway,strive,1
strive,process,1
process,effici,1
process,optim,1
process,technolog,1
process,hold,1
effici,strategi,1
effici,spend,1
strategi,align,1
strategi,work,1
align,hire,1
hire,busi,1
busi,process,2
busi,expert,1
busi,plan,1
busi,previous,1
busi,excel,1
busi,chang,1
busi,growth,1
busi,develop,1
optim,profession,1
profession,on-demand,1
on-demand,step,1
step,help,1
help,transform,1
help,client,1
transform,organ,1
transform,project,1
transform,consult,1
transform,program,1
organ,no-risk,1
organ,focus,1
no-risk,trial,1
trial,pay,1
pay,satisfi,1
satisfi,trust,1
trust,lead,1
lead,brand,1
lead,it-en,1
brand,startup,1
startup,watch,1
startup,scaleup,1
startup,act,1
watch,case,18
case,studi,18
studi,watch,17
studi,busi,1
expert,engin,1
expert,product,1
engin,background,1
engin,manufactur,1
background,özgür,1
özgür,highli,1
özgür,will,1
highli,experienc,1
experienc,busi,1
plan,report,1
plan,peopl,1
report,financ,1
financ,throughout,1
throughout,7-year,1
7-year,career,1
career,work,1
work,high-growth,1
work,new,1
work,privat,1
high-growth,startup,1
scaleup,co-found,1
co-found,up-and-com,1
up-and-com,startup,1
act,in-hous,1
in-hous,consult,1
consult,built,1
consult,eager,1
built,depart,1
depart,partook,1
partook,strateg,1
strateg,decis,1
decis,particip,1
particip,fund,1
fund,round,1
round,exit,1
exit,merger,1
merger,özgür,1
will,work,1
new,project,1
project,leverag,1
project,divers,1
project,chang,1
leverag,experi,1
experi,help,1
experi,aspect,1
experi,includ,1
experi,busi,1
client,scale,1
client,implement,1
client,busi,1
scale,busi,1
previous,doctor,1
previous,park,1
previous,execnpd,1
previous,ownet,1
previous,integr,1
doctor,kimchi,1
kimchi,marvin,1
marvin,deliv,1
marvin,design,1
deliv,busi,1
deliv,govern,1
excel,initi,1
initi,world,1
world,'s,1
's,largest,1
's,enterpris,1
's,degre,1
largest,corpor,1
corpor,sinc,1
sinc,1990,1
1990,manag,1
manag,transform,1
manag,plan,1
manag,global,1
manag,certifi,1
manag,prince2,1
manag,question,1
manag,market,1
divers,complex,1
complex,chang,1
complex,combin,1
chang,environ,1
chang,manag,4
chang,transform,2
chang,lead,1
environ,variou,1
variou,market,1
market,includ,1
market,larri,1
market,strategi,1
includ,energi,1
includ,20,1
includ,engin,1
includ,hp,1
energi,manufactur,1
manufactur,industri,1
manufactur,market,1
industri,util,1
util,marvin,1
design,led,1
led,project,1
peopl,process,1
technolog,data,1
data,previous,1
park,derochi,1
derochi,larri,1
larri,expert,1
larri,'s,1
product,develop,2
product,40,1
develop,commerci,1
develop,includ,1
develop,oper,1
commerci,200+,1
200+,product,1
40,year,1
year,high,1
year,execut,1
year,experi,1
high,tech,1
tech,includ,1
20,year,2
execut,special,1
special,complex,1
special,answer,1
combin,hardwar,1
hardwar,softwar,1
softwar,leadership,1
leadership,direct,1
direct,experi,1
aspect,product,1
enterpris,experi,1
hp,agil,1
agil,keithley,1
keithley,purchas,1
purchas,tektronix/danah,1
purchas,handl,1
tektronix/danah,mba,1
mba,master,1
mba,bradford,1
master,'s,1
degre,physic,1
physic,previous,1
execnpd,sourc,1
sourc,llc,1
llc,kemmi,1
kemmi,season,1
season,busi,1
eager,assist,1
assist,client,1
implement,sustain,1
sustain,chang,1
global,chang,1
program,deliv,1
govern,effici,1
spend,control,1
control,€350,1
€350,million,1
million,annual,1
annual,purchas,1
handl,organiz,1
organiz,side,1
side,chang,1
it-en,busi,1
hold,mba,1
bradford,school,1
school,manag,1
certifi,lean,1
lean,six,1
six,sigma,1
sigma,black,1
black,chang,1
prince2,msp,1
msp,previous,1
ownet,rich,1
rich,award-win,1
rich,found,1
award-win,leader,1
leader,special,1
answer,client,1
growth,oper,1
oper,chang,1
oper,manag,1
question,innov,1
innov,techniqu,1
innov,digit,1
techniqu,20,1
privat,equiti,1
equiti,fortun,1
fortun,100,1
100,compani,1
like,kroger,1
kroger,cigna,1
cigna,blue,1
blue,cross,1
blue,shield,1
cross,blue,1
shield,late,1
late,rich,1
found,dart,1
dart,organ,1
focus,innov,1
digit,health,1
health,solut,1
solut,previous,1
integr,prescript,1
prescript,manag,1
