Source,Target,Weight
one-pot,chicken,2
one-pot,dinner,1
chicken,orzo,5
chicken,thigh,1
orzo,recip,3
orzo,garlicki,1
orzo,bake,1
orzo,sauc,1
orzo,pasta,1
recip,crispi,1
recip,’,1
recip,veget,1
recip,leftov,1
recip,everi,1
crispi,chicken,1
crispi,delici,1
thigh,cook,1
cook,right,1
right,top,1
top,orzo,1
garlicki,tomato,1
tomato,sauc,1
sauc,basil,1
sauc,flavor,1
basil,’,1
’,simpl,1
’,fan,1
’,disappoint,1
’,’,1
’,need,1
simpl,make,1
simpl,arugula,1
make,serv,1
make,easi,1
serv,straight,1
serv,simpl,1
straight,oven,1
oven,favorit,1
favorit,side,1
favorit,one,1
side,salad,1
side,roast,1
side,dish,1
salad,love,1
salad,side,1
love,one-pan,1
one-pan,dinner,1
dinner,much,1
dinner,recip,1
much,cookbook,1
cookbook,skinnytast,1
skinnytast,one,1
skinnytast,tag,1
skinnytast,subscrib,1
skinnytast,use,1
one,done,1
one,pot,1
done,featur,1
featur,120,1
120,one-pot,1
fan,favorit,1
pot,chicken,1
bake,’,1
disappoint,skin,1
skin,crispi,1
delici,orzo,1
flavor,serv,1
arugula,salad,1
roast,veget,1
roast,asparagu,1
veget,like,1
veget,side,1
like,broccoli,1
like,receiv,1
broccoli,roast,1
asparagu,would,1
would,also,1
would,great,1
would,like,1
also,great,1
also,freez,1
great,’,1
great,healthi,1
need,make,1
easi,one-pot,1
dish,would,1
healthi,chicken,1
leftov,chicken,1
pasta,keep,1
keep,refriger,1
refriger,4,1
4,day,1
day,airtight,1
airtight,contain,1
contain,also,1
freez,3,1
3,month,1
month,eat,1
eat,thaw,1
thaw,fridg,1
fridg,microwav,1
microwav,warm,1
warm,post,1
post,pic,1
pic,mention,1
mention,skinnytast,1
tag,skinnytast,1
subscrib,weekli,1
subscrib,acknowledg,1
weekli,email,1
email,newslett,1
email,skinnytast,1
email,stay,1
newslett,free,1
free,'ll,1
'll,get,1
get,latest,1
latest,meal,1
meal,idea,1
idea,new,1
new,recip,1
everi,week,1
week,pleas,1
pleas,check,1
check,follow,1
follow,indic,1
indic,would,1
receiv,email,1
use,mailchimp,1
mailchimp,market,1
mailchimp,process,1
mailchimp,'s,1
market,platform,1
platform,click,1
click,subscrib,1
click,link,1
acknowledg,inform,1
inform,transfer,1
transfer,mailchimp,1
process,learn,1
learn,mailchimp,1
's,privaci,1
privaci,practic,1
practic,unsubscrib,1
unsubscrib,time,1
time,click,1
link,footer,1
footer,email,1
stay,date,1
date,wherev,1
