Source,Target,Weight
toptal,marketplac,1
toptal,mission,1
toptal,connect,1
toptal,work,1
marketplac,top,1
top,financi,1
top,compani,1
top,firm,1
financi,model,4
financi,decis,1
financi,report,1
financi,consult,1
model,consult,2
model,valuat,1
model,asset,1
model,budget,1
consult,top,1
consult,toptal,1
consult,reward,1
consult,firm,1
compani,startup,1
compani,success,1
compani,400+,1
startup,hire,1
startup,watch,1
startup,experi,1
startup,independ,1
hire,financi,1
mission,critic,1
critic,project,1
project,no-risk,1
project,corpor,1
project,time,1
project,includ,1
no-risk,trial,1
trial,pay,1
pay,satisfi,1
satisfi,trust,1
trust,lead,1
lead,brand,1
lead,firm,1
brand,startup,1
watch,case,18
case,studi,18
studi,watch,17
studi,ludwig,1
ludwig,close,1
close,30,1
close,invest,1
30,billion,1
billion,transact,1
billion,radio-spectrum,1
billion,public,1
billion,go-to-market,1
transact,us,1
transact,46,1
us,europ,1
europ,deutsch,1
deutsch,bank,1
bank,'s,1
bank,divis,1
bank,privat,1
bank,georgia,1
's,invest,1
's,support,1
invest,bank,2
invest,profession,1
invest,financ,1
invest,hold,1
divis,work,1
work,close,1
work,excit,1
work,divers,1
profession,top,1
firm,like,1
firm,argentum,1
firm,corpor,1
like,blackston,1
blackston,starwood,1
starwood,capit,1
capit,deal,1
capit,llc,1
deal,rang,1
rang,asset,1
asset,busi,1
asset,alloc,1
busi,dispos,1
busi,revenu,1
dispos,multi-billion,1
multi-billion,dollar,1
dollar,acquisit,1
acquisit,join,1
join,toptal,2
connect,entrepreneur,1
entrepreneur,go-gett,1
go-gett,share,1
share,knowledg,1
knowledg,around,1
around,invest,1
financ,strategi,3
financ,technolog,1
financ,expert,1
strategi,previous,1
strategi,leverag,1
strategi,polici,1
strategi,rais,1
strategi,associ,1
previous,starlift,1
previous,endemol,1
previous,finca,1
previous,geisel,1
previous,invictu,1
starlift,capit,1
llc,lse,1
lse,graduat,1
graduat,distinct,1
distinct,valeria,1
valeria,7+,1
valeria,join,1
7+,year,1
year,blue-chip,1
year,experi,1
blue-chip,expertis,1
expertis,invest,1
expertis,financi,1
privat,equiti,1
privat,financi,1
equiti,corpor,1
corpor,develop,1
corpor,financ,1
corpor,risk,1
develop,lead,1
argentum,goldman,1
goldman,sach,1
sach,endemol,1
endemol,shine,2
shine,experienc,1
shine,group,1
experienc,across,1
across,industri,1
industri,valeria,1
excit,project,1
leverag,expertis,1
valuat,strateg,1
valuat,pitch,1
strateg,plan,1
plan,pitch,1
pitch,deck,2
deck,creation,1
deck,fundrais,1
creation,negoti,1
negoti,previous,1
group,duncan,1
duncan,passion,1
passion,startup,1
passion,support,1
experi,busi,1
experi,fraction,1
revenu,model,1
alloc,budget,1
budget,forecast,1
budget,financi,1
forecast,valuat,1
fundrais,mani,1
mani,project,1
time,silicon,1
silicon,valley,1
valley,mba,1
mba,wharton,1
wharton,school,1
school,mechan,1
mechan,engin,1
engin,degre,1
degre,perfectli,1
perfectli,complement,1
complement,financ,1
technolog,oper,1
oper,execut,1
execut,consult,1
execut,decis,1
reward,challeng,1
challeng,help,1
help,client,1
client,make,1
client,growth,1
make,good,1
good,financi,1
decis,grow,1
decis,60,1
grow,compani,1
success,previous,1
finca,tierra,1
tierra,verd,1
verd,sac,1
sac,kate,1
kate,financ,1
kate,passion,1
expert,10+,1
10+,year,1
fraction,cfo,1
cfo,fp,1
fp,financi,1
report,establish,1
establish,privat,1
risk,offic,1
offic,largest,1
largest,bank,1
georgia,senior,1
senior,analyst,1
analyst,ftse,1
ftse,250,1
250,invest,1
hold,compani,1
400+,million,1
million,turnov,1
turnov,start,1
start,career,1
career,auditor,1
auditor,deloitt,1
deloitt,kate,1
support,client,1
support,execut,1
growth,readi,1
readi,serv,1
serv,need,1
need,previous,1
geisel,softwar,1
softwar,nick,1
nick,cfa,1
nick,enjoy,1
cfa,28-year,1
28-year,track,1
track,record,1
record,span,1
span,40+,1
40+,countri,1
countri,financ,1
polici,'s,1
polici,advocaci,1
60,high-stak,1
high-stak,project,1
includ,transact,1
46,billion,1
radio-spectrum,auction,1
auction,trade,1
trade,3.5,1
3.5,billion,1
public,polici,1
advocaci,govern,1
govern,contract,1
contract,bid,1
bid,worth,1
worth,1,1
1,billion,1
go-to-market,strategi,1
rais,small,1
small,cap,1
cap,tech,1
tech,startup,1
independ,sinc,1
sinc,2001,1
2001,nick,1
enjoy,work,1
divers,market,1
market,sector,1
sector,cultur,1
cultur,previous,1
invictu,strategi,1
