Source,Target,Weight
ton,flavor,1
flavor,quick,1
flavor,–,1
quick,anti-inflammatori,1
quick,saut,1
quick,slaw,1
anti-inflammatori,turmer,1
anti-inflammatori,recip,1
anti-inflammatori,ingredi,1
anti-inflammatori,properti,1
turmer,garlic,2
turmer,mango,1
turmer,cumin,1
garlic,shrimp,2
garlic,finish,1
shrimp,dish,1
shrimp,made,1
shrimp,turmer,1
dish,perfect,1
perfect,balanc,1
balanc,flavor,1
balanc,heat,1
–,readi,1
readi,30,1
30,minut,1
minut,lot,1
lot,ask,1
ask,anti-inflammatori,1
recip,mani,1
recip,everi,1
mani,site,1
mani,ingredi,1
site,go,1
go,label,1
label,thought,1
thought,would,1
would,start,1
would,like,1
start,one,1
one,healthi,1
healthi,turmer,1
made,color,1
color,raw,1
color,vibrant,1
raw,cabbag,1
cabbag,mango,1
cabbag,mani,1
cabbag,lime,1
mango,salad,1
mango,red,2
salad,lime,1
lime,dress,1
lime,juic,2
dress,’,1
’,color,1
’,mild,1
vibrant,load,1
load,anti-inflammatori,1
ingredi,like,1
ingredi,list,1
like,oliv,1
like,receiv,1
oliv,oil,1
oil,turmer,1
red,cabbag,2
red,pepper,1
list,anti-inflammatori,1
properti,offer,1
offer,variou,1
variou,health,1
health,benefit,1
benefit,season,1
season,shrimp,1
cumin,red,1
pepper,flake,1
flake,gave,1
gave,quick,1
gave,two,1
saut,garlic,1
finish,fresh,1
fresh,lime,1
juic,cilantro,1
juic,husband,1
cilantro,balanc,1
heat,’,1
mild,although,1
although,make,1
make,spicier,1
spicier,leav,1
leav,milder,1
milder,tast,1
tast,serv,1
serv,quick,1
slaw,sweet,1
sweet,mango,1
husband,gave,1
two,thumb,1
thumb,post,1
post,pic,1
pic,mention,1
mention,skinnytast,1
skinnytast,tag,1
skinnytast,subscrib,1
skinnytast,use,1
tag,skinnytast,1
subscrib,weekli,1
subscrib,acknowledg,1
weekli,email,1
email,newslett,1
email,skinnytast,1
email,stay,1
newslett,free,1
free,'ll,1
'll,get,1
get,latest,1
latest,meal,1
meal,idea,1
idea,new,1
new,recip,1
everi,week,1
week,pleas,1
pleas,check,1
check,follow,1
follow,indic,1
indic,would,1
receiv,email,1
use,mailchimp,1
mailchimp,market,1
mailchimp,process,1
mailchimp,'s,1
market,platform,1
platform,click,1
click,subscrib,1
click,link,1
acknowledg,inform,1
inform,transfer,1
transfer,mailchimp,1
process,learn,1
learn,mailchimp,1
's,privaci,1
privaci,practic,1
practic,unsubscrib,1
unsubscrib,time,1
time,click,1
link,footer,1
footer,email,1
stay,date,1
date,wherev,1
