Source,Target,Weight
look,best,1
best,way,1
way,use,1
use,chickpea,1
use,can,1
use,mailchimp,1
chickpea,falafel,1
chickpea,recip,2
chickpea,aka,1
chickpea,small,1
chickpea,’,1
chickpea,versatil,1
falafel,hummu,1
falafel,”,1
hummu,salad,1
hummu,”,1
salad,sheet,1
salad,dish,1
sheet,pan,1
pan,dinner,1
dinner,15,1
dinner,plan,1
15,easi,1
easi,chickpea,1
recip,make,1
recip,–,1
recip,everi,2
make,dinner,1
plan,breez,1
breez,chickpea,1
aka,garbanzo,1
garbanzo,bean,2
bean,one,1
bean,slightli,1
bean,recip,1
one,favorit,1
one,elev,1
one,reason,1
favorit,plant-bas,1
favorit,garbanzo,1
plant-bas,protein,1
protein,sourc,1
protein,think,1
sourc,’,1
sourc,protein,1
’,alway,1
’,cheap,1
’,use,1
’,hardli,1
alway,find,1
find,two,1
two,cupboard,1
cupboard,’,1
cheap,requir,1
requir,minim,1
minim,prep,1
prep,great,1
prep,liter,1
great,sourc,1
think,us,1
think,“,1
think,chickpea,1
us,think,1
“,hummu,1
“,falafel,1
”,“,1
”,think,1
–,dish,1
–,mani,1
–,much,1
dish,amaz,1
dish,nay,1
dish,one,1
amaz,–,1
mani,option,1
option,chickpea,1
small,mighti,1
mighti,ingredi,1
ingredi,one,1
ingredi,mild,1
ingredi,cook,1
elev,dish,1
nay,yay,1
yay,’,1
can,chickpea,1
hardli,prep,1
liter,drain,1
drain,rins,1
rins,add,1
add,salad,1
reason,chickpea,1
versatil,ingredi,1
mild,flavor,1
flavor,–,1
flavor,come,1
much,lighter,1
lighter,bean,1
slightli,earthi,1
earthi,tast,1
tast,gener,1
gener,flavor,1
come,whatev,1
whatev,season,1
season,ingredi,1
cook,without,1
without,ago,1
ago,favorit,1
everi,occas,1
everi,week,1
occas,subscrib,1
subscrib,weekli,1
subscrib,acknowledg,1
weekli,email,1
email,newslett,1
email,skinnytast,1
email,stay,1
newslett,free,1
free,'ll,1
'll,get,1
get,latest,1
latest,meal,1
meal,idea,1
idea,new,1
new,recip,1
week,pleas,1
pleas,check,1
check,follow,1
follow,indic,1
indic,would,1
would,like,1
like,receiv,1
receiv,email,1
skinnytast,use,1
mailchimp,market,1
mailchimp,process,1
mailchimp,'s,1
market,platform,1
platform,click,1
click,subscrib,1
click,link,1
acknowledg,inform,1
inform,transfer,1
transfer,mailchimp,1
process,learn,1
learn,mailchimp,1
's,privaci,1
privaci,practic,1
practic,unsubscrib,1
unsubscrib,time,1
time,click,1
link,footer,1
footer,email,1
stay,date,1
date,wherev,1
