Source,Target,Weight
’,love,1
’,heather,1
’,dietitian,1
’,discov,1
’,sweet,1
’,even,1
’,’,1
’,need,1
love,faster,1
love,find,1
love,healthi,1
love,dish,1
faster,lighter,1
faster,first,1
faster,version,1
lighter,chicken,1
lighter,also,1
lighter,faster,1
chicken,marbella,4
chicken,thigh,7
chicken,need,1
chicken,piec,1
chicken,broth,1
chicken,cook,1
marbella,chicken,1
marbella,delici,1
marbella,one,1
marbella,recip,1
marbella,menu,1
thigh,cook,1
thigh,mediterranean,1
thigh,recip,1
thigh,mushroom,1
thigh,air,1
thigh,hi,1
thigh,piec,1
cook,stove-top,1
cook,chicken,1
cook,everyth,1
stove-top,prune,1
stove-top,creat,1
prune,spanish,1
prune,salti,1
prune,ha,1
prune,pair,1
prune,much,1
spanish,oliv,1
oliv,caper,1
oliv,make,1
oliv,capers…,1
caper,garlic,1
caper,oliv,1
garlic,oregano,1
garlic,pure,1
garlic,6,1
oregano,flavor,1
flavor,easi,1
flavor,beauti,1
easi,mediterranean-styl,1
mediterranean-styl,dish,1
dish,love,1
dish,balanc,1
dish,idea,1
dish,much,1
dish,couscou,1
dish,prune,1
find,new,1
new,way,1
way,cook,1
mediterranean,style,1
style,dinner,1
dinner,sure,1
sure,becom,1
sure,check,1
becom,regular,1
regular,recip,1
recip,rotat,1
recip,might,1
recip,classic,1
recip,made,1
recip,card,1
rotat,combin,1
combin,sweet,1
sweet,prune,1
sweet,salti,1
salti,tang,1
salti,combo,1
tang,caper,1
make,chicken,1
make,dish,2
delici,dish,1
delici,pan-sauc,1
balanc,tast,1
tast,contrast,1
contrast,flavor,1
beauti,chicken,1
might,want,1
want,check,1
check,brais,1
check,power,1
brais,chicken,1
mushroom,leek,1
leek,bake,1
bake,chicken,1
air,fryer,1
fryer,asian-glaz,1
asian-glaz,chicken,1
hi,’,1
heather,k.,1
k.,jones—i,1
jones—i,’,1
dietitian,nutrit,1
nutrit,expert,1
expert,skinnytast,1
skinnytast,cookbook,1
cookbook,founder,1
cookbook,make,1
founder,weight,1
weight,well,1
well,program,1
program,feel,1
feel,better,1
better,eat,1
better,struggl,1
better,origin,1
eat,better,1
eat,group,1
struggl,nighttim,1
nighttim,over,1
over,emot,1
over,start,1
emot,food,1
emot,eat,1
food,crave,1
crave,sure,1
crave,cure,1
power,potent,1
potent,tool,1
tool,call,1
call,5-minut,1
5-minut,crave,1
5-minut,solut,1
cure,easy-to-us,1
easy-to-us,guid,1
guid,audio,1
audio,’,1
discov,5-minut,1
solut,stop,1
stop,over,1
start,also,1
also,free,1
also,idea,1
also,much,1
also,swap,1
also,instead,1
also,go,1
free,emot,1
group,coach,1
group,pleas,1
coach,session,1
session,time,1
time,month,1
time,consum,1
month,insid,1
insid,love,1
healthi,facebook,1
facebook,group,1
pleas,join,1
join,could,1
could,use,1
use,support,1
use,remov,1
use,low-sodium,1
use,marinad,1
support,inspir,1
inspir,chicken,1
one,favorit,1
favorit,recip,1
classic,silver,1
silver,palat,1
palat,cookbook,1
idea,much,1
idea,perfectli,1
much,like,1
much,lighter,1
much,faster,1
like,prune,1
like,lighter,1
ha,also,1
perfectli,prune,1
pair,oliv,1
capers…,’,1
combo,work,1
work,origin,1
origin,chicken,1
origin,’,1
made,1,1
1,cup,2
1,tablespoon,1
cup,brown,1
cup,wine,1
brown,sugar,1
sugar,yike,1
sugar,…,1
sugar,1,1
yike,whole,1
whole,head,1
head,garlic,2
pure,time,1
pure,head,1
consum,1,1
wine,’,1
wine,also,1
even,sugar,1
even,better,1
even,cauliflow,1
…,plu,1
plu,chicken,1
need,marin,1
need,see,1
marin,overnight,1
overnight,decid,1
decid,tri,1
tri,make,1
first,cut,1
cut,back,1
back,sugar,1
tablespoon,instead,1
instead,skin,1
instead,use,1
skin,chicken,2
piec,use,1
piec,also,1
remov,skin,1
swap,entir,1
entir,pure,1
6,chop,1
chop,clove,1
clove,use,1
low-sodium,chicken,1
broth,place,1
place,white,1
white,wine,1
marinad,chicken,1
everyth,stove-top,1
creat,delici,1
pan-sauc,pan,1
pan,juic,1
juic,end,1
end,honestli,1
honestli,like,1
version,even,1
see,full,1
full,ingredi,1
ingredi,measur,1
measur,bottom,1
bottom,post,1
post,recip,1
card,serv,1
serv,dish,1
couscou,big,1
big,green,1
green,salad,1
salad,husband,1
husband,alway,1
alway,get,1
get,excit,1
excit,marbella,1
menu,would,1
would,also,1
go,great,1
great,crusti,1
crusti,bread,1
bread,rice,1
rice,rice,1
rice,pilaf,1
rice,keep,1
pilaf,roast,1
roast,potato,1
potato,even,1
cauliflow,rice,1
keep,light,1
light,let,1
let,know,1
know,comment,1
comment,love,1
