Source,Target,Weight
toptal,marketplac,1
toptal,mission,1
toptal,'s,3
toptal,network,1
toptal,pride,1
marketplac,top,1
top,fintech,1
top,compani,1
top,manag,1
fintech,consult,2
fintech,freelanc,1
consult,expert,1
consult,toptal,1
expert,specialist,1
specialist,top,1
compani,startup,1
compani,rais,1
compani,larg,1
compani,effort,1
compani,investor,1
compani,previous,1
startup,hire,1
startup,watch,1
startup,fund,1
startup,rais,1
startup,mid-siz,1
hire,fintech,1
freelanc,toptal,1
freelanc,help,1
freelanc,support,1
freelanc,expos,1
mission,critic,1
critic,project,1
project,no-risk,1
project,larg,1
project,despit,1
no-risk,trial,1
trial,pay,1
pay,satisfi,1
satisfi,trust,1
trust,lead,1
lead,brand,1
lead,analys,1
brand,startup,1
watch,case,18
case,studi,18
case,includ,1
studi,watch,17
studi,yianni,1
yianni,experienc,1
yianni,began,1
experienc,invest,1
invest,profession,1
invest,manag,1
invest,50,1
profession,manag,1
manag,asset,1
manag,work,1
manag,investor,1
manag,forecast,1
manag,improv,1
asset,institut,1
institut,investor,1
investor,global,1
investor,entrepreneur,1
investor,contribut,1
global,extens,1
global,ventur,1
global,oper,1
extens,experi,1
experi,financi,1
financi,analysi,1
financi,management—includ,1
financi,process,1
analysi,valuat,1
valuat,equiti,1
equiti,research,1
equiti,deal,1
equiti,healthcar,1
research,invest,1
work,project,1
work,note,1
work,previous,1
work,offic,1
larg,corpor,2
corpor,startup,1
corpor,hp,1
corpor,quickli,1
fund,european,1
fund,invest,1
european,commiss,2
commiss,mba,1
commiss,data,1
mba,imperi,1
mba,distinct,1
imperi,colleg,1
colleg,london,1
london,yianni,1
began,freelanc,1
help,top,1
help,ten,1
entrepreneur,creat,1
creat,valu,1
creat,manag,1
valu,sustain,1
sustain,growth,1
growth,previous,1
previous,european,1
previous,led,1
previous,firstrock,1
previous,claranet,1
previous,ftera,1
data,scientist,1
scientist,harvard,1
harvard,mba,1
distinct,erik,1
erik,co-found,1
erik,'s,1
co-found,global,1
ventur,capit,1
capit,fund,1
capit,mauro,1
50,startup,1
rais,500,1
rais,150+,1
rais,1.6,1
500,million,2
million,realiz,1
million,debt,1
million,advis,1
realiz,six,1
six,exit,1
exit,previous,1
led,analys,1
analys,case,1
analys,talent,1
includ,restructur,1
restructur,3,1
3,billion,1
billion,global,1
billion,erik,1
billion,equiti,1
oper,deal,1
deal,worth,1
deal,deploy,1
worth,10,1
10,billion,1
's,work,1
's,chief,1
's,screen,2
note,forb,1
forb,cnbc,1
cnbc,hbr,1
hbr,speak,1
speak,four,1
four,languag,1
languag,serv,1
serv,toptal,1
serv,cfo,1
chief,economist,1
economist,lead,1
talent,economi,1
talent,match,2
economi,futur,1
futur,work,1
firstrock,capit,1
mauro,help,1
mauro,freelanc,1
ten,privat,1
privat,own,1
privat,compani,1
privat,equiti,1
own,compani,1
150+,million,1
debt,bond,1
bond,intern,1
intern,market,1
market,improv,1
improv,financi,2
improv,financ,1
management—includ,cash,1
cash,manag,1
forecast,creat,1
forecast,startup,1
process,forecast,1
process,ensur,2
mid-siz,compani,1
hp,mauro,1
support,compani,1
effort,improv,1
financ,scale,1
scale,previous,1
claranet,aleksey,1
aleksey,serv,1
aleksey,enjoy,1
cfo,role,1
role,public,1
public,vc-back,1
vc-back,privat,1
contribut,25+,1
25+,privat,1
deploy,500,1
advis,50+,1
50+,client,1
client,rais,1
1.6,billion,1
healthcar,consum,1
consum,media,1
media,softwar,1
softwar,energi,1
energi,industri,1
industri,sector,1
sector,aleksey,1
enjoy,work,1
offic,early-stag,1
early-stag,matur,1
matur,small-cap,1
small-cap,firm,1
firm,freelanc,1
expos,wide,1
wide,rang,1
rang,compani,1
ftera,advisor,1
advisor,discov,1
discov,fintech,1
network,toptal,1
screen,match,2
match,process,2
match,precis,2
ensur,except,2
except,talent,2
precis,need,2
need,toptal,1
need,...,1
...,allow,1
allow,corpor,1
quickli,assembl,1
assembl,team,1
team,right,1
right,skill,1
skill,specif,1
specif,project,1
despit,acceler,1
acceler,demand,1
demand,coder,1
coder,toptal,1
pride,almost,1
almost,ivi,1
ivi,league-level,1
league-level,vet,1
