Source,Target,Weight
toptal,marketplac,1
toptal,mission,1
toptal,client,1
toptal,enjoy,1
toptal,bring,1
marketplac,top,1
top,financi,1
top,compani,1
financi,forecast,2
financi,manag,1
financi,model,1
financi,strategi,1
forecast,consult,2
consult,top,1
consult,toptal,1
consult,execut,1
consult,program,1
consult,pauliu,1
consult,firm,1
compani,startup,1
compani,respons,1
compani,execut,1
compani,multin,1
compani,develop,1
compani,previous,1
startup,hire,1
startup,watch,1
startup,2017,1
startup,fortun,1
startup,sector,1
hire,financi,1
mission,critic,1
critic,project,1
project,no-risk,1
project,previous,1
no-risk,trial,1
trial,pay,1
pay,satisfi,1
satisfi,trust,1
trust,lead,1
lead,brand,1
lead,consult,1
brand,startup,1
watch,case,18
case,studi,18
studi,watch,17
studi,gari,1
gari,serial,1
gari,director,1
gari,leverag,1
serial,entrepreneur,1
entrepreneur,ceo,1
ceo,cfo,1
cfo,experi,1
cfo,role,1
experi,co-found,1
experi,across,1
experi,success,1
experi,help,1
experi,work,1
experi,also,1
co-found,aerospac,1
aerospac,startup,1
2017,gari,1
director,financ,1
financ,120,1
financ,entrepreneuri,1
financ,consult,1
financ,structur,1
120,million,1
million,revenu,1
revenu,saa,1
saa,compani,1
saa,energi,1
respons,financi,1
manag,multipl,1
manag,experi,1
manag,committe,1
multipl,depart,1
depart,support,1
support,three,1
three,merger,1
merger,gari,1
leverag,uniqu,1
uniqu,blend,1
blend,financ,1
entrepreneuri,experi,1
across,earli,1
earli,growth-stag,1
growth-stag,busi,1
busi,add,1
busi,model,1
add,valu,1
valu,toptal,1
valu,creation,1
valu,20+,1
client,previous,1
client,startup,1
client,valuat,1
previous,cislunar,1
previous,paradigm,1
previous,coinvest,1
previous,morgan,1
previous,movement,1
cislunar,industri,1
industri,marvin,1
marvin,accomplish,1
marvin,enjoy,1
accomplish,life,1
life,scienc,1
scienc,financ,1
execut,20+,1
execut,key,1
20+,year,1
20+,seed/early-stag,1
20+,billion,1
year,experi,1
success,particip,1
particip,transact,1
transact,total,1
transact,biggest,1
transact,cumul,1
transact,early-stag,1
total,15+,1
15+,billion,1
billion,extens,1
billion,renown,1
billion,transact,1
extens,strategi,1
strategi,consult,1
strategi,jerri,1
program,manag,1
help,compani,2
help,achiev,1
help,client,1
key,initi,1
initi,marvin,1
enjoy,advis,1
enjoy,freelanc,1
enjoy,refin,1
advis,client,1
fortun,500,1
500,help,1
achiev,superior,1
superior,result,1
result,sustain,1
sustain,valu,1
creation,previous,1
paradigm,healthcar,1
healthcar,consult,1
healthcar,innov,1
pauliu,close,1
pauliu,cfa,1
close,20+,1
seed/early-stag,invest,1
invest,ai,1
ai,technolog,1
technolog,saa,1
energi,sector,1
sector,also,1
sector,manag,1
also,experi,1
also,cover,1
work,debt,1
work,ipo,1
debt,transact,1
biggest,region,1
region,deal,1
deal,baltic,1
deal,valu,1
baltic,employ,1
employ,lead,1
firm,deloitt,1
deloitt,dnb,1
dnb,bank,1
bank,pauliu,1
bank,includ,1
bank,toptal,1
cfa,charter,1
charter,holder,1
holder,enjoy,1
freelanc,help,1
valuat,financi,1
model,fundrais,1
model,optim,1
model,skill,1
fundrais,project,1
coinvest,capit,1
capit,georg,1
georg,work,1
georg,activ,1
ipo,fix,1
fix,incom,1
incom,transact,1
cumul,deal,1
renown,wall,1
wall,street,1
street,bank,1
includ,salomon,1
salomon,brother,1
brother,morgan,1
morgan,stanley,2
stanley,fulbright,1
stanley,jerri,1
fulbright,scholar,1
scholar,georg,1
activ,fintech,1
fintech,startup,1
committe,houston,1
houston,’,1
’,largest,1
largest,independ,1
independ,bank,1
refin,busi,1
optim,financ,1
structur,maxim,1
maxim,flexibl,1
flexibl,profit,1
profit,previous,1
jerri,'s,1
jerri,join,1
's,complet,1
complet,10,1
10,billion,1
early-stag,compani,1
multin,europ,1
europ,us,1
us,notabl,1
notabl,exit,1
exit,healthcar,1
innov,carelinx,1
carelinx,generali,1
generali,experi,1
cover,equiti,1
equiti,analyst,1
analyst,hedg,1
hedg,fund,1
fund,public,1
public,account,1
account,practic,1
practic,cfo,1
role,help,1
develop,kpi,1
kpi,dashboard,1
dashboard,financi,1
join,toptal,1
bring,analyt,1
analyt,model,1
skill,varieti,1
varieti,compani,1
movement,athlet,1
