Source,Target,Weight
follow,olymp,1
olymp,standard,1
standard,pool,1
pool,dive,1
pool,chang,1
dive,fatigu,1
fatigu,eventu,1
eventu,caught,1
caught,us,1
us,end,1
us,start,1
us,thought,1
end,nap,1
nap,sun…until,1
sun…until,sun,1
sun,went,1
went,first,1
first,us,1
start,stir,1
stir,quickli,1
quickli,pop,1
quickli,put,1
quickli,shamelessli,1
pop,cloth,1
cloth,head,1
cloth,dinner,1
head,dinner,1
head,beach,1
head,nearest,1
head,watch,1
head,home,1
dinner,drink,1
dinner,’,1
dinner,🙂,1
dinner,happili,1
drink,reason,1
drink,aaaaaaaaannnyway,1
drink,hous,1
reason,idea,1
idea,photo,1
idea,call,1
photo,make,1
make,sens,1
sens,casual,1
casual,one…,1
one…,plu,1
plu,never,1
never,take,1
take,proper,1
proper,camera,1
camera,go,1
camera,descend,1
go,drink,1
go,lunch,1
aaaaaaaaannnyway,fast,1
fast,forward,1
forward,next,1
next,day,2
day,🙂,1
day,time,1
day,still,1
day,dinner,1
🙂,decid,1
🙂,soon,1
decid,next,1
decid,time,1
time,head,1
time,go,1
beach,expect,1
beach,quit,1
beach,gener,1
beach,…,1
beach,made,1
expect,beach,1
quit,nice,1
nice,honest,1
honest,look,1
look,clear,1
clear,water,1
water,anoth,1
water,fed,1
anoth,moment,1
moment,ibiza,1
ibiza,realli,1
realli,surpris,1
surpris,soak,1
soak,ray,1
ray,beach,1
gener,faf,1
faf,around,1
around,decid,1
lunch,head,1
lunch,arriv,1
nearest,restaur,1
restaur,avail,1
avail,actual,1
actual,beach,1
…,tad,1
tad,higher,1
higher,beach,1
made,pretti,1
pretti,epic,1
epic,view,1
view,blue,1
blue,sea,1
sea,lunch,1
arriv,raven,1
arriv,especi,1
raven,scof,1
scof,food,1
food,wash,1
food,’,1
food,arriv,1
food,induc,1
wash,complimentari,1
complimentari,alcohol,1
alcohol,idea,1
call,–,1
–,’,1
’,even,1
’,tell,1
’,think,1
’,eaten,1
’,much,1
’,busi,1
even,think,1
even,though,1
think,us,1
think,’,1
thought,ask,1
thought,food,1
ask,water,1
fed,head,1
watch,sunset,1
sunset,explor,1
sunset,final,1
explor,surround,1
surround,area,1
surround,best,1
area,check,1
check,sunset,1
final,pack,1
pack,thing,1
thing,head,1
home,quick,1
home,drink,1
quick,dip,1
dip,pool,1
chang,cloth,1
tell,excit,1
excit,thought,1
eaten,long,1
long,ago,1
ago,much,1
much,bounc,1
much,day,1
bounc,wall,1
wall,sound,1
sound,dinner,1
soon,food,1
especi,accompani,1
accompani,wine,1
wine,quickli,1
put,camera,1
descend,quickli,1
shamelessli,food,1
induc,haze,1
haze,funnili,1
funnili,enough,1
enough,even,1
though,’,1
still,kinda,1
kinda,feel,1
feel,like,1
like,’,1
busi,dare,1
dare,say,1
say,product,1
product,day,1
happili,stumbl,1
stumbl,back,1
back,home,1
hous,host,1
host,juvenil,1
juvenil,game,1
game,somehow,1
somehow,manag,1
manag,hilari,1
hilari,fun,1
fun,surround,1
best,friend,1
friend,danc,1
danc,ninja,1
ninja,cambridg,1
cambridg,grad,1
grad,cooki,1
cooki,monster,1
monster,email,1
email,address,1
