Source,Target,Weight
next,day,1
day,vik,1
day,’,1
day,visit,1
day,said,1
day,warn,1
day,like,1
vik,’,1
vik,guid,1
vik,great,1
vik,–,1
’,realli,1
’,reynisfjara,2
’,seen,1
’,iceland,1
’,mean,1
’,probabl,1
’,gon,1
’,feel,1
’,fine,1
’,quit,1
’,like,2
’,basic,1
’,want,1
’,think,1
’,even,1
’,judgment,1
’,absolut,1
’,never,1
’,anoth,1
realli,solid,1
solid,plan,1
plan,except,1
plan,tail,1
plan,cute,1
except,‘,1
‘,iceland,1
‘,sneaker,1
iceland,beach,1
iceland,fulli,1
iceland,downtim,1
iceland,wave,1
iceland,’,1
beach,day,1
beach,felt,1
beach,icon,1
beach,actual,1
beach,seem,1
beach,absolut,1
beach,visit,1
beach,viewpoint,1
reynisfjara,black,5
black,sand,5
sand,beach,5
felt,absolut,1
felt,almost,1
absolut,fantast,1
absolut,worth,1
absolut,incred,1
fantast,trip,1
trip,alreadi,1
trip,went,1
trip,sound,1
alreadi,’,1
seen,fire,1
fire,ice,1
ice,side,1
ice,cave,2
side,iceland,1
fulli,visit,1
visit,erupt,1
visit,ice,1
visit,caution,1
visit,iceland,1
visit,definit,1
visit,base,1
visit,day,1
erupt,volcano,1
volcano,day,1
cave,glacier,1
cave,day,1
glacier,afternoon,1
afternoon,downtim,1
downtim,felt,1
downtim,’,1
almost,deserv,1
almost,sideway,1
deserv,’,1
mean,chill,1
chill,hotel,1
hotel,plan,1
tail,end,1
end,trip,1
went,explor,1
went,access,1
explor,local,1
local,sight,1
sight,vik,1
guid,ice,1
said,mountain,1
mountain,around,1
mountain,decid,1
mountain,see,1
around,vik,1
great,see,1
see,puffin,1
see,bird,1
puffin,even,1
puffin,’,1
even,one,1
even,know,1
even,incred,1
one,look,1
one,’,1
one,need,1
one,danger,1
one,knock,1
one,pull,1
look,like,1
look,mountain,1
look,even,1
like,could,1
like,someth,1
like,’,1
like,first,1
like,dramat,1
like,arch,1
could,drive,1
drive,would,1
drive,4,1
would,one,1
would,lot,1
probabl,hike,1
hike,unless,1
hike,gigant,1
unless,drive,1
4,x,1
4,look,1
x,4,1
decid,puffin,1
gon,na,1
na,part,1
part,plan,1
cute,hike,1
gigant,mountain,1
bird,’,1
feel,like,1
someth,want,1
want,littl,1
want,find,1
littl,know,1
know,would,1
know,make,1
lot,easier,1
easier,anyway,1
anyway,went,1
access,site,1
site,near,1
near,vik,1
–,reynisfjara,1
icon,basalt,1
basalt,column,1
column,reynisdrangar,1
reynisdrangar,reynisfjara,1
actual,one,1
need,visit,1
caution,one,1
danger,spot,1
spot,visit,1
wave,beach,1
wave,iceland,1
seem,like,1
fine,’,1
quit,power,1
power,act,1
act,tandem,1
tandem,pull,1
pull,peopl,1
pull,get,1
peopl,ocean,1
peopl,one,1
peopl,mani,1
peopl,ignor,1
peopl,’,2
ocean,’,1
first,one,1
knock,peopl,1
get,bear,1
get,distract,1
bear,togeth,1
togeth,’,1
basic,way,1
way,describ,1
describ,googl,1
googl,‘,1
sneaker,wave,1
find,detail,1
find,previou,1
detail,yeah,1
yeah,reynisfjara,1
worth,visit,1
definit,keep,1
keep,safe,1
safe,distanc,2
distanc,away,1
distanc,peopl,1
away,shorelin,1
shorelin,’,1
think,safe,1
mani,peopl,1
ignor,peopl,1
make,judgement,1
make,look,1
judgement,sensibl,1
sensibl,visit,1
base,peopl,1
judgment,day,1
warn,asid,1
asid,’,1
incred,beach,1
incred,rain,1
incred,rock,1
incred,viewpoint,1
dramat,weather,1
weather,make,1
rain,howev,1
rain,almost,1
howev,rain,1
sideway,soon,1
soon,start,1
start,pick,1
pick,hop,1
hop,back,1
back,car,1
car,head,1
head,nearbi,1
nearbi,dyrhólaey,1
dyrhólaey,arch,1
dyrhólaey,incred,1
arch,dyrhólaey,1
arch,hole,1
rock,format,1
format,’,1
hole,reason,1
reason,’,1
never,abl,1
abl,find,1
previou,trip,1
sound,ridicul,1
ridicul,’,1
anoth,incred,1
viewpoint,alway,1
alway,get,1
distract,’,1
