Source,Target,Weight
rocamadour,one,1
rocamadour,chees,2
one,french,1
one,region,1
one,rather,1
one,uniqu,1
french,gem,1
french,luxuri,1
french,countryside…,1
gem,look,1
look,forward,1
forward,see,1
see,boy,1
see,grotesqu,1
boy,meet,1
boy,readi,1
meet,expect,1
expect,’,1
’,though,1
’,leav,1
’,famou,1
’,come,1
’,milk,1
’,udder,1
’,home,1
’,one,1
’,ever,1
’,certainli,1
’,fall,1
’,eaten,1
though,’,1
leav,without,1
without,tri,1
tri,one,1
region,’,1
famou,item,1
item,–,1
–,rocamadour,1
–,lunch,1
–,especi,1
chees,’,1
chees,actual,1
come,much,1
come,way,1
come,full,1
much,fresher,1
much,guarante,1
much,’,1
much,spent,1
fresher,actual,1
actual,farm,1
actual,made,1
farm,rocamadour,1
made,goat,1
made,way,1
goat,’,2
milk,perfunctori,1
perfunctori,visit,1
visit,livestock,1
livestock,feel,1
feel,kinda,1
kinda,essential…,1
essential…,hit,1
hit,fli,1
fli,also,1
also,truli,1
truli,surpris,1
surpris,see,1
grotesqu,huge,1
huge,goat,1
udder,🙂,1
🙂,swifti,1
🙂,lunch,1
🙂,danc,1
swifti,move,1
move,on…,1
move,egg,1
on…,🙂,1
lunch,head,1
lunch,one,1
lunch,boy,1
head,chateau,1
head,back,1
chateau,de,2
chateau,’,1
de,la,2
la,treyn,2
treyn,bit,1
treyn,part,1
bit,treat,1
treat,chateau,1
treat,get,1
treat,point,1
part,french,1
luxuri,group,1
group,individu,1
individu,own,1
own,hotel,1
hotel,relai,1
relai,chateau,1
home,michelin-star,1
michelin-star,restaur,1
restaur,would,1
would,lunch,1
rather,impress,1
impress,build,1
build,everyon,1
build,search,1
everyon,els,1
els,pile,1
pile,build,1
search,food,1
food,champagn,1
champagn,decid,1
champagn,settl,1
champagn,jelli,2
decid,littl,1
decid,’,1
littl,wander,1
littl,treat,1
wander,around,1
wander,surround,1
around,grounds…,1
grounds…,…it,1
…it,magnific,1
magnific,eventu,1
eventu,made,1
way,toward,1
way,dull,1
way,spend,1
toward,welcom,1
welcom,glass,1
glass,champagn,1
settl,view,1
view,surround,1
surround,countrysid,1
surround,area,1
countrysid,along,1
countrysid,soon,1
along,littl,1
get,us,1
get,lost,1
us,started…,1
us,outsid,1
started…,rain,1
rain,threaten,1
rain,decid,1
threaten,come,1
dull,shine,1
shine,countrysid,1
soon,enough,1
enough,time,1
time,real,1
real,stuff,1
stuff,–,1
readi,start,1
start,pea,1
pea,soup…,1
soup…,…befor,1
…befor,move,1
egg,asparagu,1
asparagu,duck,1
duck,select,1
select,quickli,1
quickli,becom,1
becom,favourit,1
favourit,trip,1
trip,dordogn,1
dordogn,valley,1
valley,highlight,1
highlight,meal…,1
meal…,least,1
least,thought,1
thought,dessert,1
dessert,arriv,1
dessert,howev,1
dessert,’,1
arriv,pre-desert,1
pre-desert,came,1
came,form,1
form,delici,1
delici,nutti,1
nutti,chocol,1
chocol,masterpiec,1
masterpiec,dessert,1
howev,red,1
red,fruit,1
fruit,sorbet,1
sorbet,crispi,1
crispi,opalin,1
opalin,champagn,1
jelli,top,1
jelli,sheer,1
top,strawberri,1
strawberri,’,1
uniqu,dessert,1
ever,’,1
certainli,never,1
never,champagn,1
sheer,perfect,1
perfect,dinner,1
dinner,head,1
back,outsid,1
outsid,rain,1
outsid,even,1
fall,sun,1
sun,come,1
full,forc,1
forc,coffe,1
coffe,await,1
await,us,1
even,sweet,1
sweet,treat,1
point,post-lunch,1
post-lunch,nap,1
nap,sunshin,1
sunshin,pretti,1
pretti,much,2
guarante,–,1
especi,consid,1
consid,much,1
eaten,rest,1
rest,afternoon,1
afternoon,pretti,1
afternoon,🙂,1
spent,quick,1
quick,sunni,1
sunni,snooz,1
snooz,wander,1
area,get,1
lost,french,1
countryside…,…definit,1
…definit,bad,1
bad,way,1
spend,summer,1
summer,afternoon,1
danc,ninja,1
ninja,cambridg,1
cambridg,grad,1
grad,cooki,1
cooki,monster,1
monster,email,1
email,address,1
