Source,Target,Weight
toptal,marketplac,1
toptal,mission,1
toptal,enjoy,1
toptal,network,1
toptal,'s,1
marketplac,find,1
find,top,1
top,fraction,1
top,compani,1
fraction,cfo,2
cfo,compani,1
cfo,toptal,2
cfo,two,1
cfo,grow,1
cfo,also,1
cfo,experi,1
cfo,freelanc,1
cfo,growth,1
cfo,east,1
compani,top,1
compani,startup,1
compani,strateg,1
compani,180,1
compani,team,1
compani,former,1
startup,hire,1
startup,watch,1
startup,larg,1
startup,founder,1
hire,freelanc,1
freelanc,cfo,1
freelanc,expand,1
freelanc,use,1
freelanc,leverag,1
mission,critic,1
critic,project,1
project,no-risk,1
project,start,1
no-risk,trial,1
trial,pay,1
pay,satisfi,1
satisfi,trust,1
trust,lead,1
lead,brand,1
lead,compani,1
lead,numer,1
brand,startup,1
watch,case,18
case,studi,18
studi,watch,17
studi,kresimir,1
kresimir,entrepreneur,1
kresimir,'s,1
entrepreneur,cfo,1
entrepreneur,achiev,1
two,decad,1
two,300+,1
decad,experi,1
experi,growth-stag,1
experi,europ,1
experi,intern,1
experi,capit,1
growth-stag,startup,1
larg,corpor,1
corpor,'s,1
corpor,develop,1
's,work,1
's,network,1
's,1.1,1
's,built,1
's,screen,1
work,retail,1
work,lead,1
work,strateg,1
retail,ecommerc,1
ecommerc,telecom,1
telecom,construct,1
construct,industri,1
industri,recent,1
industri,sector,1
recent,manag,1
recent,focus,1
manag,restructur,1
manag,ventur,1
restructur,sale,1
restructur,debt,1
sale,40,1
40,million,1
million,compani,1
million,transact,1
million,acquisit,1
million,dispos,1
million,found,1
strateg,investor,1
strateg,reorgan,1
strateg,pivot,1
investor,freelanc,1
expand,kresimir,1
network,allow,1
network,toptal,1
allow,bring,1
bring,expertis,1
expertis,cfo,1
grow,matur,1
matur,busi,1
busi,worldwid,1
worldwid,previous,1
previous,zagreb-montaža,1
previous,krush,1
previous,perenco,1
previous,fincap360,1
previous,uniti,1
zagreb-montaža,brian,1
brian,co-found,1
brian,join,1
co-found,famili,1
famili,privat,1
famili,offic,1
privat,held,1
held,global,1
global,technolog,1
technolog,media,1
media,compani,1
media,emilio,1
180,employe,1
employe,offic,1
offic,nyc,1
offic,former,1
nyc,ohio,1
ohio,la,1
la,tel,1
tel,aviv—serv,1
aviv—serv,board,1
board,member,1
member,cfo,1
also,experienc,1
also,equiti,1
experienc,corpor,1
develop,execut,1
develop,group,1
execut,led,1
execut,two,1
led,500,1
500,million,1
transact,integr,1
transact,includ,1
integr,capit,1
capit,rais,2
capit,lehman,1
rais,brian,1
rais,strateg,1
join,toptal,1
enjoy,work,1
enjoy,freelanc,1
enjoy,help,1
team,interest,1
interest,dynam,1
dynam,challeng,1
challeng,previous,1
krush,media,1
emilio,25,1
emilio,work,1
25,year,1
year,cfo,1
europ,latin,1
latin,america,1
america,expert,1
expert,cross-bord,1
cross-bord,execut,1
300+,million,1
acquisit,one,1
one,400+,1
400+,million,1
dispos,emilio,1
reorgan,project,1
start,subsidiari,1
subsidiari,oil,1
oil,ga,1
ga,automot,1
automot,industri,1
sector,enjoy,1
use,experi,1
intern,exposur,1
exposur,maxim,1
maxim,valu,1
valu,client,1
client,previous,1
perenco,morgan,1
morgan,stanley,1
stanley,carol,1
carol,advis,1
advis,eight,1
eight,founder,1
founder,exit,1
founder,cfo,1
exit,total,1
total,750,1
750,million,1
found,practic,1
practic,manag,1
ventur,invest,1
invest,famili,1
invest,bank,1
invest,firm,1
former,tech,1
former,equiti,1
tech,cfo,1
leverag,experi,1
pivot,turnaround,1
turnaround,enjoy,1
help,innov,1
help,lead,1
innov,entrepreneur,1
achiev,financi,1
financi,success,1
success,across,1
across,mani,1
mani,vertic,1
vertic,recent,1
focus,effort,1
effort,fintech,1
fintech,previous,1
fincap360,llc,1
llc,neil,1
neil,cfo,1
growth,compani,1
equiti,analyst,2
analyst,goldman,1
analyst,barclay,1
goldman,sach,1
sach,ny,1
ny,help,1
numer,transact,1
includ,zipcar,1
zipcar,'s,1
1.1,billion,1
billion,ipo,1
ipo,also,1
barclay,capit,1
lehman,brother,1
brother,began,1
began,career,1
career,boutiqu,1
boutiqu,invest,1
bank,restructur,1
debt,financ,1
financ,'s,1
built,oper,1
oper,skill,1
skill,startup,1
east,africa-focus,1
africa-focus,impact,1
impact,invest,1
firm,previous,1
uniti,develop,1
group,discov,1
discov,fraction,1
screen,match,1
match,process,1
match,precis,1
process,ensur,1
ensur,except,1
except,talent,1
talent,match,1
precis,need,1
