Source,Target,Weight
toptal,marketplac,1
toptal,project,1
toptal,'s,1
toptal,client,1
marketplac,top,1
top,interim,1
top,compani,1
interim,part-tim,1
part-tim,temporari,1
temporari,financi,1
financi,content,1
financi,writer,1
financi,model,1
financi,consult,1
financi,manag,1
financi,control,1
financi,technolog,1
content,writer,1
writer,top,1
writer,toptal,1
writer,manag,1
compani,invest,1
compani,sat,1
compani,get,1
compani,across,1
invest,firm,1
invest,bank,2
invest,one,1
invest,financ,1
firm,hire,1
firm,found,1
hire,freelanc,1
freelanc,financi,1
project,no-risk,1
project,autom,1
no-risk,trial,1
trial,pay,1
pay,satisfi,1
satisfi,trust,1
trust,lead,1
lead,brand,1
lead,wall,1
brand,startup,1
startup,watch,1
startup,studio,1
watch,case,18
case,studi,18
studi,watch,17
studi,elizabeth,1
elizabeth,around,1
elizabeth,also,1
around,15,1
15,year,1
year,experi,1
year,previous,1
year,invest,1
year,financ,1
experi,financ,1
experi,global,1
experi,multin,1
financ,consult,1
financ,blog,1
financ,veteran,1
financ,experi,2
consult,doggedli,1
consult,elizabeth,1
doggedli,find,1
find,answer,1
answer,thing,1
thing,peopl,1
peopl,consid,1
consid,``,1
``,hard,1
``,thrive,1
hard,``,1
thrive,competit,1
competit,analysi,1
analysi,valuat,1
analysi,applic,1
valuat,growth,1
growth,strategi,1
strategi,pitch,1
pitch,deck,1
deck,financi,1
model,forecast,1
forecast,start,1
forecast,financi,1
start,equiti,1
equiti,research,2
equiti,capit,1
research,invest,1
research,mark,1
research,global,1
bank,raymond,1
bank,credit,1
raymond,jame,1
jame,move,1
move,hedg,1
hedg,fund,1
fund,becom,1
fund,singapor,1
fund,co-found,1
becom,independ,1
independ,financi,1
also,busi,1
busi,writer,1
busi,analysi,1
busi,gyanesh,1
manag,toptal,1
manag,jim,1
manag,invest,1
manag,close,1
's,financ,1
's,largest,1
's,latest,1
blog,nearli,1
nearli,six,1
six,year,1
previous,systemat,1
previous,laird,1
previous,buss,1
previous,ventur,1
previous,endless,1
systemat,financi,1
jim,manag,1
one,canada,1
canada,'s,1
largest,ventur,1
ventur,firm,1
ventur,capit,1
ventur,mental,1
ventur,fund,1
ventur,gyanesh—a,1
found,success,1
success,exit,1
success,remot,1
exit,larg,1
larg,entertain,1
entertain,softwar,1
softwar,compani,1
sat,20,1
20,privat,1
privat,public,1
public,non-profit,1
non-profit,board,1
board,20-year,1
20-year,corpor,1
corpor,financ,1
corpor,work,1
veteran,fraction,1
fraction,cfo,1
cfo,passion,1
cfo,nyc-bas,1
cfo,toptal,1
passion,help,1
help,compani,1
get,next,1
next,level,1
level,improv,1
improv,oper,1
oper,assist,1
assist,debt,1
debt,equiti,1
capit,rais,1
capit,fund,1
capit,deal,1
rais,execut,1
execut,transact,1
execut,numer,1
transact,previous,1
laird,research,1
mark,10+,1
mark,leverag,1
10+,year,1
global,transport,1
global,manag,1
global,management/buss,1
global,fortun,1
transport,investor,1
investor,buss,1
buss,global,2
close,4,1
4,billion,1
billion,fundrais,1
fundrais,mandat,1
mandat,work,1
work,across,1
work,lead,1
across,industri,1
across,stage,1
industri,cover,1
industri,previous,1
cover,ship,1
ship,offshore/marin,1
offshore/marin,properti,1
properti,hospit,1
hospit,biotechnolog,1
biotechnolog,telecommun,1
telecommun,media,1
media,sector,1
sector,mark,1
leverag,buy,1
buy,sell-sid,1
sell-sid,expertis,1
expertis,offer,1
offer,practic,1
practic,advic,1
advic,compani,1
stage,industri,1
management/buss,capit,1
singapor,graham,1
graham,execut,1
numer,ventur,1
deal,publish,1
publish,equiti,1
fortun,100,1
100,corpor,1
wall,street,1
street,invest,1
credit,suiss,1
suiss,startup,1
studio,bionic,1
bionic,’,1
’,princip,1
princip,ventur,1
mental,health,1
health,ventur,1
co-found,cfo,1
nyc-bas,restaur,1
restaur,previous,1
gyanesh—a,success,1
remot,cfo,1
client,us,1
client,600,1
us,canada—ha,1
canada—ha,13,1
13,year,1
multin,includ,1
includ,toyota,1
toyota,landmark,1
landmark,group,1
group,xpo,1
xpo,logist,1
logist,fort,1
fort,lie,1
lie,strateg,1
strateg,advisori,1
advisori,cash,1
cash,flow,1
flow,forecast,1
control,busi,1
applic,latest,1
latest,financi,1
latest,project,1
technolog,small,1
small,north,1
north,american,1
american,busi,1
gyanesh,'s,1
autom,bookkeep,1
bookkeep,shopifi,1
shopifi,quickbook,1
quickbook,save,1
save,client,1
600,fee,1
fee,per,1
per,month,1
month,previous,1
endless,event,1
event,llc,1
