Source,Target,Weight
arriv,iceland,1
iceland,dramat,1
iceland,appar,1
iceland,one,1
iceland,felt,1
iceland,peopl,1
iceland,even,1
iceland,actual,1
dramat,say,1
say,least,1
least,–,1
–,larg,1
–,reykjavik,1
–,book,1
larg,part,1
part,due,1
due,volcano,1
volcano,erupt,3
volcano,far,1
volcano,wait,1
volcano,made,1
volcano,spur-of-the-mo,1
volcano,head,1
volcano,via,1
erupt,iceland,3
erupt,new,1
erupt,done,1
erupt,earthquak,1
erupt,happen,1
appar,brew,1
brew,week,1
week,idea,1
week,one,1
idea,pretti,1
idea,happen,1
pretti,earli,1
pretti,one,1
earli,morn,1
morn,flight,1
flight,london,1
london,kind,1
kind,start,1
start,day,1
start,shake,1
day,like,1
day,woke,1
like,3,1
like,excit,1
like,would,1
3,a.m.,1
a.m.,head,1
head,straight,1
head,explor,1
head,–,1
straight,hotel,1
hotel,–,1
hotel,intent,1
hotel,suddenli,1
reykjavik,konsulat,1
reykjavik,nod,1
reykjavik,past,1
reykjavik,anyway,1
reykjavik,way,1
reykjavik,’,1
reykjavik,meradalir,1
konsulat,hotel,1
intent,nap,1
nap,go,1
nap,went,1
go,explor,1
go,close,1
explor,reykjavik,3
nod,hotel,1
suddenli,start,1
shake,creak,1
creak,idea,1
happen,assum,1
happen,year,1
assum,someon,1
someon,drill,1
drill,someth,1
someth,somewher,1
somewher,turn,1
turn,experienc,1
turn,fine,1
experienc,earthquak,1
earthquak,iceland,1
earthquak,citi,1
earthquak,caus,1
earthquak,ceas,1
one,hundr,1
one,particularli,1
one,herald,1
one,though,1
hundr,hit,1
hit,reykjavik,1
past,week,1
particularli,signific,1
signific,one,1
herald,erupt,1
new,volcano,1
far,reykjavik,1
anyway,fast,1
anyway,’,1
anyway,yeah,1
fast,forward,1
forward,hour,1
hour,rest,1
rest,nap,1
went,dinner,1
went,explor,1
dinner,islenski,1
islenski,barinn,2
barinn,’,1
barinn,worth,1
’,realis,1
’,seem,1
’,think,1
’,worth,1
’,feel,1
realis,volcano,1
felt,surreal,1
surreal,wonder,1
wonder,panick,1
panick,iceland,1
peopl,bar,1
peopl,hike,1
bar,’,1
seem,bother,1
seem,like,1
bother,slightest,1
slightest,fact,1
fact,anyth,1
anyth,seem,1
excit,thing,1
thing,anyway,1
think,much,1
think,may,1
much,els,1
els,think,1
may,post,1
post,tiktok,1
tiktok,food,1
food,head,1
food,good,1
way,restaur,1
restaur,islenski,1
worth,visit,1
worth,hype,1
visit,food,1
good,came,1
came,highli,1
highli,recommend,1
recommend,confirm,1
confirm,’,1
hype,anyway,1
yeah,went,1
feel,earthquak,1
citi,entir,1
entir,time,1
time,clearli,1
clearli,earthquak,1
caus,volcano,1
wait,erupt,1
done,erupt,1
ceas,next,1
next,day,1
woke,check,1
check,news,1
news,saw,1
saw,mani,1
mani,peopl,1
hike,volcano,3
hike,similar,1
made,sens,1
sens,whatsoev,1
whatsoev,like,1
would,wan,1
wan,na,1
na,go,1
close,turn,1
fine,phenomen,1
phenomen,event,1
event,iceland,1
even,local,1
local,hike,1
similar,volcan,1
volcan,erupt,1
year,thank,1
thank,govern,1
govern,alreadi,1
alreadi,creat,1
creat,path,1
path,hike,1
spur-of-the-mo,decis,1
decis,decid,1
decid,hike,1
book,tour,1
tour,volcano,1
via,link,1
link,drive,1
drive,reykjavik,1
meradalir,volcano,1
actual,quit,1
quit,pretti,1
though,wind,1
wind,day,1
