Source,Target,Weight
toptal,marketplac,1
toptal,mission,1
toptal,client,1
toptal,expand,1
marketplac,top,1
top,busi,1
top,compani,1
top,hedg,1
busi,plan,2
busi,add,1
busi,school,1
plan,consult,2
consult,expert,1
consult,toptal,1
expert,top,1
compani,startup,2
compani,investor,1
compani,previous,1
compani,like,1
compani,respons,1
startup,hire,1
startup,watch,1
startup,fundrais,1
startup,2017,1
startup,fortun,1
hire,freelanc,1
freelanc,busi,1
freelanc,expos,1
freelanc,contribut,1
mission,critic,1
critic,project,1
project,no-risk,1
no-risk,trial,1
trial,pay,1
pay,satisfi,1
satisfi,trust,1
trust,lead,1
lead,brand,1
brand,startup,1
watch,case,18
case,studi,18
studi,watch,17
studi,aleksey,1
aleksey,serv,1
aleksey,enjoy,1
serv,cfo,1
cfo,role,1
cfo,experi,1
role,public,1
public,vc-back,1
vc-back,privat,1
privat,compani,1
privat,equiti,2
investor,contribut,1
investor,carlyl,1
contribut,25+,1
contribut,knowledg,1
25+,privat,1
equiti,deal,1
equiti,healthcar,1
equiti,investor,1
deal,deploy,1
deploy,500,1
500,million,1
500,firm,1
million,advis,1
million,revenu,1
advis,50+,1
advis,client,1
advis,compani,1
50+,client,1
client,rais,1
client,previous,1
client,40+,1
rais,1.6,1
rais,restructur,1
1.6,billion,1
billion,equiti,1
billion,ipo,1
billion,worth,1
billion,global,1
billion,capit,1
healthcar,consum,1
consum,media,1
media,softwar,1
media,telecom,1
softwar,energi,1
energi,industri,1
industri,sector,1
industri,marc,1
sector,aleksey,1
enjoy,work,1
enjoy,freelanc,1
work,offic,1
work,early-stag,1
offic,early-stag,1
early-stag,matur,1
early-stag,ventur,1
matur,small-cap,1
small-cap,firm,1
firm,freelanc,1
firm,focus,1
firm,gari,1
firm,keen,1
firm,previous,1
expos,wide,1
wide,rang,1
rang,compani,1
previous,ftera,1
previous,konvoy,1
previous,cislunar,1
previous,keyturn,1
previous,keen,1
ftera,advisor,1
advisor,josh,1
advisor,name,1
josh,invest,1
josh,one,1
invest,banker,2
invest,bank,1
banker,turn,1
banker,goldman,1
turn,vc,1
vc,live,1
vc,firm,2
live,denver,1
denver,co.,1
co.,morgan,1
co.,2.5,1
morgan,stanley,1
stanley,cover,1
cover,world,1
world,'s,1
world,``,1
's,top,1
hedg,fund,1
fund,sold,1
sold,5,1
5,billion,1
ipo,compani,1
like,alibaba,1
alibaba,lendingclub,1
lendingclub,grubhub,1
grubhub,also,1
also,experi,1
experi,startup,1
experi,co-found,1
experi,across,1
experi,advis,1
fundrais,founder,1
founder,current,1
current,josh,1
one,manag,1
manag,partner,1
manag,multipl,1
partner,konvoy,1
konvoy,ventur,2
ventur,vc,2
ventur,previous,1
focus,esport,1
esport,video,1
video,game,1
game,previous,1
gari,serial,1
gari,director,1
gari,leverag,1
serial,entrepreneur,1
entrepreneur,ceo,1
ceo,cfo,1
co-found,aerospac,1
aerospac,startup,1
2017,gari,1
director,financ,1
financ,120,1
financ,entrepreneuri,1
financ,transact,1
financ,market,1
120,million,1
revenu,saa,1
saa,compani,1
respons,financi,1
respons,advisori,1
financi,manag,1
multipl,depart,1
depart,support,1
support,three,1
three,merger,1
merger,gari,1
leverag,uniqu,1
uniqu,blend,1
blend,financ,1
entrepreneuri,experi,1
across,earli,1
earli,growth-stag,1
growth-stag,busi,1
add,valu,1
valu,toptal,1
cislunar,industri,1
marc,harvard,1
marc,enjoy,1
harvard,busi,1
school,graduat,1
graduat,honor,1
honor,former,1
former,invest,1
goldman,sach,1
sach,privat,1
carlyl,group,1
group,help,1
help,execut,1
execut,70,1
70,billion,1
worth,global,1
global,financ,1
global,invest,1
transact,tech,1
transact,2015,1
tech,media,1
telecom,infrastructur,1
infrastructur,sport,1
sport,facil,1
facil,financ,1
market,marc,1
knowledg,skill,1
skill,other,1
other,work,1
keyturn,pbc,1
pbc,travi,1
travi,part,1
travi,join,1
part,found,1
found,team,1
found,social,1
team,moeli,1
moeli,co.,1
2.5,billion,1
bank,18,1
18,year,1
year,experi,1
40+,billion,1
capit,rais,1
restructur,transact,1
2015,found,1
social,respons,1
advisori,firm,1
keen,advisor,2
name,``,1
``,best,1
``,2017-2019,1
best,world,1
2017-2019,travi,1
join,toptal,1
expand,network,1
network,share,1
share,expertis,1
expertis,advis,1
fortun,500,1
