Source,Target,Weight
best,ground,2
best,turkey,1
best,tast,1
best,result,1
ground,turkey,8
turkey,taco,10
turkey,recip,1
turkey,mean,1
turkey,like,1
turkey,must,1
turkey,simmer,1
taco,scratch,1
taco,dinner,1
taco,recip,2
taco,night,1
taco,typic,1
taco,much,1
taco,season,2
taco,check,1
taco,lettuc,1
taco,home,1
taco,tuesday,1
taco,side,1
taco,complet,1
taco,healthier,1
taco,depend,1
taco,meat,1
scratch,healthi,1
healthi,quick,1
healthi,ground,1
quick,easi,1
quick,dinner,1
easi,taco,1
easi,adjust,1
dinner,whole,1
dinner,’,1
whole,famili,1
famili,love,1
love,best,1
recip,’,1
recip,help,1
recip,see,1
recip,card,1
recip,use,1
recip,like,1
recip,freez,1
recip,everi,1
’,go-to,1
’,delici,1
’,’,1
’,need,1
’,93,1
’,dri,1
’,time,1
go-to,taco,1
night,tradit,1
night,week,1
tradit,taco,1
typic,use,1
use,beef,1
use,homemad,1
use,rest,1
use,93,1
use,lean,1
use,mailchimp,1
beef,pork,1
beef,taco,1
beef,nutrit,1
pork,ground,1
much,leaner,1
leaner,altern,1
altern,without,1
without,sacrif,1
sacrif,flavor,1
flavor,’,2
flavor,turkey,1
delici,versatil,1
versatil,use,1
homemad,taco,2
season,easi,1
season,tast,1
season,meat,1
season,add,1
adjust,like,1
like,ad,1
like,meximelt,1
like,85,1
like,protein,1
like,garlic,1
like,receiv,1
ad,artifici,1
artifici,ingredi,1
ingredi,serv,1
serv,corn,1
corn,flour,1
flour,tortilla,1
tortilla,taco,1
check,origin,1
check,follow,1
origin,low-carb,1
low-carb,turkey,1
lettuc,wrap,1
wrap,recip,1
help,make,1
make,best,2
home,taco,1
tuesday,cinco,1
cinco,de,1
de,mayo,1
mayo,night,1
week,’,1
week,pleas,1
need,turkey,1
see,exact,1
exact,measur,1
measur,recip,1
card,foolproof,1
foolproof,method,1
method,make,1
tast,turkey,1
tast,good,1
side,dish,1
dish,idea,1
idea,pair,1
idea,new,1
pair,healthi,1
complet,meal,1
meal,usual,1
meal,prep,1
meal,idea,1
usual,doubl,1
doubl,turkey,1
doubl,recip,1
rest,anoth,1
anoth,recip,1
meximelt,ground,1
healthier,beef,1
depend,fat,1
fat,content,1
fat,still,1
content,use,1
93,ground,1
93,lean,1
93,beef,1
93,turkey,1
mean,’,1
lean,7,1
lean,93,1
7,fat,1
still,flavor,1
dri,lower,1
dri,infus,1
lower,calori,1
calori,varieti,1
varieti,like,1
85,use,1
nutrit,inform,1
inform,similar,1
inform,transfer,1
similar,93,1
protein,ground,1
must,well,1
well,season,1
well,doubl,1
good,gener,1
gener,season,1
meat,homemad,1
meat,perfect,1
add,aromat,1
aromat,like,1
garlic,onion,1
onion,bell,1
bell,pepper,1
pepper,ground,1
simmer,tomato,1
tomato,sauc,1
sauc,water,1
water,prevent,1
prevent,dri,1
infus,flavor,1
perfect,meal,1
prep,sinc,1
sinc,freez,1
freez,well,1
freez,half,1
half,thaw,1
thaw,refriger,1
refriger,overnight,1
overnight,quick,1
time,cook,1
time,click,1
cook,best,1
result,eat,1
eat,within,1
within,3,1
3,month,1
month,post,1
post,pic,1
pic,mention,1
mention,skinnytast,1
skinnytast,tag,1
skinnytast,subscrib,1
skinnytast,use,1
tag,skinnytast,1
subscrib,weekli,1
subscrib,acknowledg,1
weekli,email,1
email,newslett,1
email,skinnytast,1
email,stay,1
newslett,free,1
free,'ll,1
'll,get,1
get,latest,1
latest,meal,1
new,recip,1
everi,week,1
pleas,check,1
follow,indic,1
indic,would,1
would,like,1
receiv,email,1
mailchimp,market,1
mailchimp,process,1
mailchimp,'s,1
market,platform,1
platform,click,1
click,subscrib,1
click,link,1
acknowledg,inform,1
transfer,mailchimp,1
process,learn,1
learn,mailchimp,1
's,privaci,1
privaci,practic,1
practic,unsubscrib,1
unsubscrib,time,1
link,footer,1
footer,email,1
stay,date,1
date,wherev,1
