Source,Target,Weight
next,day,2
day,retreat,1
day,chang,1
retreat,blue,1
blue,lagoon,1
lagoon,start,1
start,relax,1
start,rel,1
relax,swim,1
swim,breakfast,1
breakfast,determin,1
determin,hike,1
hike,amaz,1
hike,end,1
hike,correct,1
hike,path,2
hike,time,1
hike,short,1
hike,began,1
hike,tricki,1
hike,begin,1
amaz,viewpoint,1
amaz,though,1
viewpoint,newli,1
viewpoint,volcano,1
viewpoint,overlook,1
newli,erupt,1
erupt,meradalir,1
erupt,’,1
meradalir,volcano,1
volcano,rememb,1
volcano,tri,1
volcano,hike,2
volcano,front,1
volcano,point,1
volcano,exactli,1
rememb,post,1
post,actual,1
actual,done,1
actual,lot,1
actual,kinda,1
done,hike,1
done,creat,1
done,’,1
end,not-so-id,1
not-so-id,viewpoint,1
tri,hike,1
tri,walk,1
correct,path,1
correct,park,1
path,next,1
path,well,1
path,open,1
path,litter,1
path,govern,1
chang,weather,1
weather,meant,1
weather,look,1
meant,author,1
author,close,1
close,volcano,1
well,today,1
today,news,1
news,onlin,1
news,reason,1
onlin,seem,1
seem,like,1
seem,okay,1
like,hike,1
open,weather,1
look,absolut,1
absolut,fine,1
fine,earli,1
earli,lunch,1
lunch,went,1
went,supermarket,1
supermarket,stock,1
stock,suppli,1
stock,made,1
suppli,hike,1
time,kinda,1
time,’,1
time,neither,1
kinda,overdid,1
kinda,wish,1
overdid,snack,1
snack,unlik,1
snack,yeah,1
unlik,first,1
first,time,1
first,hike,1
’,think,1
’,nowher,1
’,flat,1
’,mental,1
’,realli,1
’,bit,1
’,go,1
’,done,1
’,easi,1
think,even,1
even,bring,1
even,though,1
even,terrain,1
bring,water,2
water,assum,1
water,time,1
assum,hike,1
short,thing,1
thing,thank,1
thank,lloyd,1
thank,rain,1
lloyd,bring,1
neither,us,1
us,pack,1
pack,snack,1
yeah,stock,1
made,way,1
way,correct,1
way,expect,1
way,even,1
park,lot,1
lot,hike,1
lot,harder,1
began,ascent,1
ascent,toward,1
toward,volcano,1
tricki,way,1
expect,start,1
rel,quick,1
quick,uphil,1
uphil,climb,2
climb,’,1
climb,sever,1
climb,know,1
climb,bit,1
nowher,near,1
near,steep,1
steep,rout,1
rout,zig-zag,1
zig-zag,till,1
till,get,1
get,top,1
get,trickier,1
top,mountain,1
mountain,part,1
part,actual,1
part,climb,1
harder,even,1
though,’,1
though,go,1
flat,see,1
see,entir,1
see,previou,1
entir,path,1
litter,huge,1
huge,rock,1
rock,blown,1
rock,earlier,1
blown,previou,1
previou,volcan,1
previou,lava,1
volcan,erupt,1
mental,exhaust,1
exhaust,tri,1
walk,attempt,1
walk,past,1
attempt,fall,1
fall,initi,1
initi,seem,1
okay,structur,1
structur,get,1
trickier,go,1
go,although,1
go,along,1
go,slip,1
although,activ,1
activ,work,1
work,done,1
creat,path,1
govern,’,1
realli,gotten,1
gotten,far,1
far,view,1
view,amaz,1
view,volcano,1
along,thank,1
rain,see,1
lava,flow,1
flow,steam,1
steam,distanc,1
distanc,walk,1
distanc,last,1
past,’,1
bit,surreal,1
bit,uphil,1
bit,muddi,1
surreal,eventu,1
eventu,rocki,1
rocki,area,1
area,give,1
give,way,1
terrain,bit,1
sever,downhil,1
downhil,climb,1
know,volcano,1
front,still,1
still,distanc,1
last,part,1
muddi,actual,1
wish,rock,1
earlier,’,1
slip,hill,1
hill,’,1
easi,stretch,1
stretch,viewpoint,1
overlook,volcano,1
point,grate,1
grate,stubborn,1
stubborn,decis,1
decis,come,1
come,back,1
back,view,1
exactli,saw,1
saw,news,1
reason,first,1
